Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,0.0,0,0,0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1502,0.0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
1591,20,32,49,185,191,127,5.0,4.54,25.0,1.08,0.86,0.38,3.33,0.0,0.38,0.3,4.04,3.39,2.62,2.0,1.38,0.93,3.54,1.12,9.0
2182,42,32,48,182,191,76,5.0,23.85,210.92,1.67,0.69,1.92,3.33,0.0,0.29,0.38,25.01,2.26,11.15,9.62,1.62,0.93,3.38,1.12,5.0
2306,0.0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2495,155,50,53,356,357,189,10.0,47.83,381.7,1.38,0.88,5.35,6.39,4.41,0.01,0.19,320.72,2.58,20.65,5.92,1.18,1.36,3.96,2.19,9.0
2535,0.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2613,1,0,0,10,8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.08,1.0
2639,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2869,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3031,43,46,79,311,314,199,10.0,1.14,12.14,1.32,0.95,0.14,5.83,0.0,0.55,0.26,8.48,3.59,0.0,0.0,1.0,1.0,3.71,1.85,9.0
3222,50,46,85,335,337,86,5.0,20.88,226.58,1.21,0.9,1.96,6.39,2.68,0.09,0.14,80.81,3.3,7.58,0.0,1.14,1.12,4.0,1.96,9.0
3223,36,28,62,180,187,64,0.0,8.92,122.85,1.92,0.68,0.17,3.33,0.0,2.63,0.36,10.8,3.11,4.33,7.42,1.23,1.0,3.38,1.12,8.0
3224,46,36,62,191,198,41,10.0,11.08,98.92,1.15,0.92,0.46,3.33,0.0,2.91,0.26,8.86,0.0,1.0,1.92,1.77,1.14,3.77,1.31,9.0
3225,44,46,71,336,337,130,10.0,7.36,144.12,1.52,0.79,0.08,6.39,5.81,0.04,0.39,72.28,3.13,2.71,8.32,1.17,1.0,3.38,2.12,9.0
3226,32,54,70,342,342,44,10.0,0.44,6.62,1.04,0.98,0.0,6.39,0.0,0.0,0.19,1.29,0.0,0.0,1.6,0.96,1.04,3.58,2.04,6.0
3227,13,28,53,181,187,33,0.0,0.08,48.62,1.0,0.96,0.0,3.33,0.0,6.69,0.0,0.45,0.0,0.0,-1.0,1.31,0.93,3.38,1.12,5.0
3228,18,0,10,20,18,26,0.0,115.0,698.5,9.0,0.0,12.0,0.0,0.0,-1.0,0.33,0.0,0.0,82.5,69.0,0.5,0.0,3.5,0.15,2.0
3229,0.0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3230,30,48,63,323,325,84,10.0,0.65,14.65,1.0,1.0,0.25,6.39,0.0,0.13,0.17,8.18,1.58,0.0,0.0,0.91,1.04,3.43,2.0,9.0
3231,21,28,45,184,193,39,6.65,1.31,27.54,1.31,0.87,0.0,3.33,0.0,6.77,0.29,2.73,0.0,1.62,1.15,1.38,1.0,3.69,1.15,8.0
3232,27,28,47,180,188,38,10.0,1.46,23.0,1.15,0.92,0.0,3.33,0.0,6.77,0.3,0.29,0.0,0.0,1.15,1.31,1.0,3.38,1.12,9.0
3233,37,48,58,328,330,87,10.0,1.04,8.61,1.29,0.88,0.08,6.39,0.0,0.03,0.3,3.7,0.0,1.08,4.17,0.91,1.04,3.61,2.0,8.79
3234,29,28,46,181,189,28,10.0,1.15,61.85,1.46,0.88,0.15,3.33,0.0,0.6,0.52,7.8,0.0,6.0,12.0,1.31,1.0,3.46,1.15,4.0
3235,25,28,48,190,198,53,10.0,2.38,23.15,1.23,1.0,0.23,3.33,0.0,6.79,0.24,0.61,0.0,0.0,0.0,1.38,1.0,3.92,1.12,9.0
3236,16,32,52,200,208,59,10.0,1.58,35.92,1.0,1.0,0.31,3.33,0.0,0.02,0.06,5.76,1.75,0.0,0.0,1.69,1.14,4.0,1.15,9.0
3237,52,48,80,329,329,249,5.0,1.09,23.82,1.43,0.94,0.0,6.39,0.0,3.65,0.4,10.41,2.61,0.0,1.36,1.0,1.08,3.39,2.04,8.47
3238,12,31,47,184,193,77,0.0,4.0,34.21,1.0,1.0,0.71,3.33,1.67,6.31,0.0,1.27,1.54,0.0,-1.0,1.14,0.87,3.43,1.15,8.0
3239,78,46,79,351,354,117,5.0,8.62,213.42,2.56,0.56,0.28,6.11,5.01,0.01,0.53,56.68,3.64,9.33,19.58,1.17,1.12,3.67,2.46,9.0
3240,45,50,65,343,345,121,0.0,3.76,49.92,1.44,0.97,0.33,6.39,0.51,0.01,0.4,21.85,3.78,3.5,13.92,1.0,1.15,3.54,2.27,9.0
3241,0.0,0,9,12,12,65,0.0,45.0,482.5,0.0,0.0,0.5,0.0,0.0,0.24,1.0,0.0,0.0,-1.0,-1.0,0.0,1.5,3.0,0.15,2.0
3242,18,31,59,184,197,56,10.0,2.38,20.5,1.08,0.96,0.64,3.33,0.0,0.85,0.0,3.8,5.04,-1.0,-1.0,1.38,0.92,3.54,1.08,6.0
3243,14,32,49,170,182,111,10.0,4.46,48.31,0.0,0.0,1.0,3.33,0.0,0.0,0.0,17.34,2.15,-1.0,-1.0,1.23,0.93,3.38,1.12,5.57
3244,77,32,51,177,188,59,5.0,4.77,51.15,1.46,0.9,1.31,3.33,0.0,0.0,0.78,13.03,2.8,5.62,1.92,1.23,0.93,3.38,1.12,9.0
3245,29,35,78,198,188,68,5.0,41.93,421.29,1.5,0.69,2.79,3.61,3.61,0.07,0.34,91.18,3.11,13.43,6.07,1.14,0.93,3.86,1.23,8.0
3246,14,32,49,180,187,81,10.0,0.23,18.08,0.0,0.0,0.0,3.33,0.0,6.77,0.0,0.3,0.0,-1.0,-1.0,1.31,1.0,3.38,1.08,9.0
3247,5,0,0,17,16,21,10.0,6.0,183.0,2.5,0.62,1.5,0.0,0.0,-1.0,0.6,0.0,0.0,32.5,50.0,1.5,0.5,2.5,0.15,5.0
3248,0.0,0,0,0,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3.0
3265,22,32,45,174,168,52,0.0,24.92,314.18,1.42,0.81,2.58,3.33,2.76,0.0,0.32,64.03,1.96,13.5,3.75,1.33,1.08,3.5,1.12,9.0
3273,44,52,58,322,330,71,10.0,2.38,21.88,1.29,1.0,0.75,6.39,0.0,0.54,0.43,9.39,11.68,1.7,9.33,0.91,1.04,3.43,2.23,9.0
3274,0.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3275,13,0,8,15,15,25,6.65,16.0,286.5,6.5,0.1,4.5,0.0,0.0,-1.0,0.15,0.0,0.0,26.0,32.5,0.5,1.5,3.5,0.15,1.0
3276,19,28,51,199,207,115,10.0,4.17,104.33,1.15,1.0,0.38,3.33,0.0,19.93,0.21,20.12,4.19,0.92,1.25,1.62,1.0,3.54,1.19,8.0
3277,29,28,54,180,188,54,10.0,4.23,31.54,1.38,1.0,0.15,3.33,0.0,6.85,0.17,0.82,0.0,0.0,0.0,1.31,1.07,3.23,1.12,8.0
3278,32,28,49,188,197,39,0.0,3.33,78.23,1.54,0.79,0.08,3.06,0.0,6.78,0.62,10.11,2.66,0.0,10.46,1.46,1.14,3.42,1.08,1.89
