Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,0.0,0,0,0,0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1502,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
1591,79,27,124,456,456,92,5.0,79.56,952.76,2.56,0.65,7.44,6.39,6.39,0.67,0.18,391.37,2.19,21.42,4.08,6.08,0.0,3.4,2.0,9.0
2182,17,6,26,436,436,62,5.0,8.31,59.31,1.0,0.9,0.15,3.33,0.27,0.0,0.18,1.13,0.0,0.0,0.0,8.77,0.0,4.31,1.15,5.0
2306,0.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2495,158,32,30,652,652,118,10.0,160.0,1197.0,4.29,0.48,8.04,6.67,6.67,0.62,0.18,641.85,2.36,24.68,11.88,8.68,0.0,3.52,2.15,9.0
2535,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2613,5,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.04,1.0
2639,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2869,0.0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3031,159,7,88,767,767,157,5.0,104.33,939.68,5.36,0.43,10.0,6.67,4.47,0.27,0.3,330.09,3.28,53.17,26.83,8.12,0.0,3.52,2.31,9.0
