Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,0.0,0,0,0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1502,0.0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
1591,28,8,59,295,295,117,10.0,6.78,72.39,1.04,1.0,0.17,6.11,0.49,0.02,0.14,17.46,1.89,0.36,2.13,1.91,1.22,3.52,1.88,9.0
2182,25,8,49,311,311,73,5.0,3.21,34.12,1.0,0.98,0.0,6.11,0.0,0.0,0.08,3.11,0.0,0.0,0.0,1.88,1.17,3.8,1.96,5.0
2306,0.0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2495,163,8,42,320,320,177,5.0,16.95,225.18,1.95,0.75,3.27,6.11,2.44,0.0,0.42,141.32,2.69,17.92,27.0,1.96,1.18,3.8,2.08,9.0
2535,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2613,2,0,5,28,28,10,10.0,4.0,24.0,0.0,0.0,1.5,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,0.15,1.0
2639,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2869,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3031,33,0,52,286,286,191,10.0,0.05,9.77,1.0,1.0,0.04,6.11,0.55,-1.0,0.15,3.16,0.0,0.0,0.65,1.87,1.22,3.23,1.92,9.0
3222,33,8,63,305,305,80,10.0,31.57,294.48,1.22,0.93,3.09,6.11,0.49,0.02,0.12,133.97,2.93,5.0,0.05,2.04,1.26,3.59,1.96,9.0
3223,22,13,53,197,197,58,10.0,8.0,58.36,1.21,0.82,0.57,3.33,0.77,0.0,0.09,2.89,4.47,3.0,2.31,1.71,1.21,4.0,1.19,8.0
3224,43,8,59,213,213,39,10.0,45.15,380.0,3.07,0.63,3.93,3.33,1.67,0.04,0.23,42.61,3.7,7.25,13.08,2.31,1.38,4.5,1.19,9.0
3225,93,8,70,283,283,124,10.0,20.48,204.87,2.48,0.79,2.74,6.11,4.58,0.0,0.52,117.26,3.4,7.19,19.5,1.96,1.26,3.17,2.04,9.0
3226,27,8,65,277,277,36,10.0,0.23,15.43,1.0,1.0,0.09,6.11,0.86,-1.0,0.11,14.25,3.12,0.0,0.0,1.91,1.22,3.17,1.88,6.0
3227,20,0,18,130,130,29,10.0,5.45,5.0,1.09,0.95,0.18,2.78,0.0,0.0,0.4,0.12,0.0,2.36,4.55,1.83,1.0,3.0,0.92,5.0
3228,13,0,17,127,127,23,10.0,1.0,19.18,1.0,1.0,0.09,2.78,0.0,-1.0,0.0,0.31,0.0,-1.0,0.0,1.75,1.0,2.91,0.96,2.0
3229,0.0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3230,18,8,44,203,203,81,10.0,10.23,62.15,1.0,1.0,0.15,3.33,0.27,0.0,0.0,0.45,0.0,0.0,-1.0,2.31,1.38,4.21,1.08,9.0
3231,22,8,68,211,211,34,10.0,0.85,20.0,1.38,0.79,0.0,3.33,0.0,-1.0,0.32,1.26,0.0,0.0,5.23,2.31,1.38,4.15,1.19,8.0
3232,22,8,49,206,206,35,10.0,1.0,7.42,1.0,1.0,0.08,3.33,0.0,-1.0,0.23,0.46,0.0,0.0,0.0,2.23,1.31,4.0,1.19,9.0
3233,29,8,68,296,296,81,10.0,1.7,5.41,1.0,1.0,0.0,5.83,0.0,0.0,0.21,0.44,0.0,0.0,0.0,1.91,1.26,3.65,1.88,8.79
3234,20,8,52,209,209,25,10.0,7.54,45.62,1.23,0.91,0.08,3.33,0.0,0.0,0.3,0.43,0.0,2.0,5.08,2.31,1.38,4.0,1.15,4.0
3235,29,8,49,206,206,51,10.0,0.62,8.85,1.08,0.96,0.08,3.33,0.0,0.0,0.41,0.27,0.0,0.0,1.15,2.23,1.31,4.0,1.12,9.0
3236,50,8,46,206,206,54,10.0,30.92,509.29,2.46,0.72,1.31,3.33,2.66,0.01,0.4,64.79,3.06,14.85,16.54,2.23,1.31,4.0,1.27,9.0
3237,50,8,62,294,294,217,10.0,11.64,162.17,1.74,0.74,0.27,5.83,1.4,0.0,0.44,57.61,2.4,7.26,11.09,1.87,1.22,3.57,1.96,8.47
3238,33,8,60,296,296,65,10.0,1.39,14.35,1.04,0.95,0.22,6.11,0.55,0.0,0.27,2.59,2.27,1.7,1.3,1.83,1.22,3.38,1.96,8.0
3239,54,8,58,295,295,100,10.0,1.22,23.43,1.05,0.98,0.05,6.11,0.31,0.0,0.52,3.8,3.58,0.0,0.0,1.91,1.22,3.52,1.92,9.0
3240,27,8,58,295,295,107,10.0,0.09,8.05,1.0,1.0,0.13,6.11,0.0,-1.0,0.11,0.63,0.0,1.13,0.68,1.91,1.22,3.52,1.88,9.0
3241,1,8,9,20,20,64,0.0,50.0,298.0,0.5,0.0,5.5,0.0,0.0,0.62,1.0,28.33,2.17,65.0,-1.0,2.0,0.0,2.5,0.15,2.0
3242,51,9,60,302,302,47,10.0,3.58,37.0,1.12,0.98,0.21,6.11,0.0,0.03,0.51,10.51,0.0,3.04,4.21,1.92,1.26,3.38,1.96,6.0
3243,19,8,47,195,195,96,0.0,0.0,7.0,1.0,1.0,0.08,3.33,0.0,0.0,0.05,0.52,0.0,0.0,0.0,2.69,1.33,4.08,1.0,5.57
3244,20,8,50,194,194,54,0.0,6.67,53.25,1.25,0.9,4.33,3.33,0.0,0.0,0.35,9.73,0.0,7.58,4.17,2.69,1.33,4.08,1.0,9.0
3245,33,8,75,210,210,65,10.0,69.36,693.57,1.93,0.67,3.07,3.52,3.52,0.05,0.36,140.93,2.92,13.64,18.64,2.43,1.36,3.87,1.42,8.0
3246,67,8,40,196,196,78,10.0,25.85,398.15,2.62,0.65,0.77,3.33,2.5,0.01,0.69,64.94,3.04,13.85,28.46,2.23,1.31,3.93,1.35,9.0
3247,11,0,4,28,28,17,6.65,26.5,264.5,5.5,0.25,11.0,0.0,0.0,-1.0,0.18,0.0,0.0,32.5,37.5,3.0,0.0,0.0,0.15,5.0
3248,0.0,0,0,0,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3.0
3265,13,8,52,177,177,47,0.0,12.92,44.08,1.0,1.0,1.31,3.33,0.57,-1.0,0.0,17.58,2.73,6.62,-1.0,1.85,1.57,3.64,1.08,9.0
3273,35,8,57,297,297,64,5.0,4.77,31.86,1.13,0.92,0.35,6.11,0.49,0.0,0.2,5.58,7.53,0.62,1.74,1.96,1.22,3.52,1.96,9.0
3274,0.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3275,12,0,9,41,41,21,10.0,60.67,529.0,4.0,0.36,6.67,0.0,0.0,0.02,0.0,0.18,0.0,11.33,-1.0,3.0,1.67,6.67,0.19,1.0
3276,28,8,53,198,198,107,5.0,9.38,61.85,1.0,1.0,0.0,3.33,0.0,0.0,0.18,0.21,0.0,0.0,0.0,2.31,1.38,3.86,1.12,8.0
3277,14,8,50,189,189,51,5.0,0.77,11.0,0.0,1.0,0.15,3.33,0.0,0.0,0.07,0.2,0.0,0.0,-1.0,2.23,1.31,3.79,1.08,8.0
3278,15,8,46,195,195,36,5.0,6.38,40.92,0.92,0.95,0.54,3.33,0.0,0.02,0.07,0.75,0.0,0.0,0.0,2.31,1.38,3.79,1.15,1.89
3279,0.0,0,0,0,0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3.0
3280,0.0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3404,0.0,0,0,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0
3446,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3447,59,8,51,209,209,48,5.0,2.62,33.23,2.23,0.81,0.23,3.33,0.0,0.0,0.44,0.37,0.0,0.0,0.0,2.31,1.38,4.08,1.08,8.0
3448,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3.0
3503,51,8,59,291,291,33,5.0,0.32,12.68,1.52,0.96,0.17,5.83,0.0,-1.0,0.29,5.07,0.0,1.77,4.14,1.87,1.22,3.57,1.88,9.0
3504,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.02
3633,0.0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
1085,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.07
1168,0.0,0,0,0,0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1456,27,8,17,98,98,56,3.33,105.33,875.89,1.75,0.52,16.56,1.94,0.0,0.04,0.11,88.08,2.42,12.5,3.75,1.5,1.56,2.67,0.85,5.0
1571,17,12,33,115,115,78,0.0,70.82,660.45,1.18,0.83,9.18,3.06,1.53,0.03,0.12,183.43,3.12,32.64,0.0,0.83,1.36,3.17,0.89,1.0
1683,42,25,12,212,212,73,10.0,134.38,1127.69,2.31,0.54,13.23,2.41,2.41,0.02,0.4,191.58,2.86,30.77,1.25,2.23,1.77,4.36,1.11,8.0
1770,0.0,0,0,0,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2198,12,8,18,139,139,14,0.0,38.08,416.91,0.0,1.0,5.42,3.15,0.0,0.03,0.0,106.75,1.98,23.73,0.0,1.64,1.42,3.25,0.89,0.43
2371,0.0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2372,0.0,0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2377,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2390,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2445,21,2,12,32,32,49,0.0,115.33,1033.0,7.0,0.02,10.67,0.28,0.14,0.3,0.19,61.68,3.56,12.33,15.0,3.33,1.67,2.67,0.22,0.13
2535,4,8,20,59,59,9,0.0,57.25,763.5,0.0,0.0,2.5,1.11,1.11,0.02,0.0,28.45,3.11,-1.0,-1.0,2.5,1.5,6.0,0.3,0.04
2596,0.0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2646,33,0,2,27,27,60,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,-1.0,0.27,33.42,4.31,-1.0,-1.0,0.0,0.0,0.0,0.07,0.05
2829,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
3044,74,14,16,171,171,122,6.67,125.18,878.81,2.44,0.43,17.62,2.31,2.31,0.15,0.54,173.33,3.71,59.19,2.5,1.56,1.25,2.81,1.33,7.88
3045,0.0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3046,74,8,55,295,295,69,10.0,66.6,401.38,2.0,0.65,2.54,6.11,2.02,0.02,0.36,208.37,3.02,15.04,8.04,1.46,1.27,3.04,2.15,9.0
3047,0.0,0,0,0,0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3048,12,8,45,177,177,64,0.0,19.69,139.69,1.0,1.0,1.38,3.33,0.83,-1.0,0.0,19.47,2.52,8.46,0.0,2.43,1.36,3.15,1.04,2.0
3049,11,8,34,145,145,25,0.0,0.0,6.7,0.0,0.0,0.0,3.06,0.0,-1.0,0.0,1.28,0.0,-1.0,-1.0,1.9,1.36,3.2,0.81,0.0
3050,0.0,0,0,0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3051,0.0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.02
3052,0.0,0,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3053,21,8,61,214,214,63,10.0,13.43,120.0,1.2,0.89,1.64,3.33,1.67,0.1,0.14,17.12,3.48,9.6,0.0,2.0,1.33,3.75,1.37,10.0
3054,30,9,59,230,230,73,10.0,53.17,494.56,1.16,0.69,6.16,3.61,3.61,0.11,0.37,290.7,1.69,21.5,3.0,1.68,1.33,2.79,1.52,5.0
3055,0.0,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3056,0.0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.57
3057,30,8,58,185,185,68,3.33,99.71,506.86,1.31,0.6,5.71,3.33,3.33,0.22,0.23,177.62,2.7,21.29,7.07,1.86,1.67,3.33,1.3,6.0
3058,40,8,56,287,287,75,10.0,51.57,434.74,1.38,0.83,5.42,6.11,5.01,0.02,0.23,121.78,3.31,5.92,2.21,1.48,1.29,3.29,1.96,10.0
3059,0.0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3060,49,8,25,308,308,129,10.0,41.27,445.36,1.4,0.82,5.28,6.11,5.25,0.01,0.2,220.99,2.38,7.2,1.19,1.56,1.26,3.19,2.07,10.0
3061,0.0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0
3062,0.0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3063,3,0,4,35,35,41,6.67,63.0,712.33,1.0,0.5,10.33,0.0,0.0,0.14,0.33,0.0,0.0,4.33,-1.0,2.67,0.0,2.67,0.26,3.0
3064,16,2,47,133,133,66,10.0,107.25,786.42,1.23,0.49,7.5,1.67,1.34,0.0,0.31,147.54,2.42,43.62,2.08,1.33,2.33,2.0,1.0,7.0
3065,34,9,34,98,98,47,3.33,94.22,694.22,1.89,0.43,16.2,1.39,1.2,0.0,0.56,108.15,2.27,38.22,3.89,2.4,1.78,2.7,0.7,2.0
3066,45,11,44,269,269,169,10.0,48.48,572.54,1.38,0.95,7.08,6.11,2.02,0.02,0.22,333.65,1.91,19.83,0.79,1.79,1.28,3.04,1.96,8.0
3067,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3068,0.0,0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3069,100,23,31,190,190,46,7.77,100.1,689.65,2.8,0.24,10.8,3.18,3.18,0.25,0.34,158.96,4.02,52.45,16.1,1.35,1.11,2.52,1.74,7.0
3070,37,15,64,278,278,63,10.0,28.39,351.42,1.22,0.92,2.42,5.83,0.52,0.0,0.22,103.8,2.66,5.83,1.67,1.48,1.26,3.0,2.0,9.0
3071,136,26,65,269,269,71,7.77,103.65,891.79,4.12,0.65,7.12,6.11,4.58,0.01,0.32,260.37,3.32,35.08,25.0,1.52,1.22,2.88,1.96,8.0
3072,0.0,0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3073,0.0,0,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0
3255,28,8,15,143,143,60,0.0,19.0,336.91,1.82,0.64,1.64,3.33,3.33,-1.0,0.18,67.98,2.57,3.55,5.45,1.73,1.42,3.25,1.0,7.0
3258,0.0,0,0,0,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3259,42,12,51,251,251,111,10.0,119.25,787.9,1.65,0.63,16.4,4.17,2.79,0.11,0.29,437.79,1.69,52.84,0.0,1.47,1.33,3.5,1.63,6.0
3260,6,8,22,66,66,44,0.0,133.2,1009.0,1.2,0.6,6.2,0.83,0.83,0.06,0.0,61.42,4.7,30.2,-1.0,3.2,1.6,2.8,0.37,7.0
3399,41,10,56,212,212,60,10.0,101.07,712.53,1.57,0.71,2.43,3.61,3.61,0.02,0.39,171.59,2.77,6.57,9.93,2.0,1.38,3.5,1.41,6.0
3400,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3401,0.0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3410,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.08
3478,0.0,0,0,0,0,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
