Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,0.0,0,0,1,1,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.15,0.0,-1.0,-1.0,0.0,0.0,0.0,0.07,0.04
1985,98,34,73,438,438,40,10.0,57.41,647.18,3.27,0.38,4.55,4.38,4.38,0.49,0.09,279.01,3.65,1.77,2.95,6.64,0.0,3.32,1.85,8.13
2040,0.0,0,0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.39
3142,0.0,0,0,0,0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
3649,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3757,1,4,4,15,15,27,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,-1.0,0.0,2.95,1.3,-1.0,-1.0,0.0,0.0,0.0,0.11,0.0
3758,115,2,15,120,120,30,0.0,143.17,1461.67,19.17,0.0,19.0,0.28,0.28,0.27,0.23,102.74,3.08,63.17,0.0,7.17,0.83,2.17,0.44,0.0
3759,80,5,41,365,365,38,10.0,95.06,957.76,3.47,0.44,16.53,3.61,1.8,0.82,0.29,370.79,3.3,30.24,6.53,6.65,0.0,3.35,1.37,10.0
3760,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.04
3761,25,5,8,28,28,33,0.0,128.5,991.0,12.5,0.02,13.0,0.28,0.28,0.87,0.24,31.98,2.41,128.0,55.0,5.0,0.0,4.0,0.19,1.0
