Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,1,0,0,2,2,105,0.0,3.5,29.5,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.39,8.36,-1.0,-1.0,0.0,0.0,0.0,0.19,0.04
1985,44,21,52,174,174,28,10.0,25.45,324.25,1.47,0.7,4.9,6.11,2.02,0.06,0.09,119.22,3.62,7.85,0.0,2.48,0.0,3.76,2.0,8.13
2040,39,22,45,151,151,25,0.0,57.12,415.0,1.47,0.85,3.69,6.67,4.74,0.07,0.05,153.1,2.6,4.35,0.0,2.41,0.0,3.0,1.81,0.39
3142,0.0,0,0,0,0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
3649,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3757,2,3,7,25,25,24,0.0,74.33,654.67,0.67,0.33,3.33,0.28,0.19,-1.0,0.5,21.49,2.74,27.33,3.67,2.33,0.0,4.33,0.29,0.0
3758,109,21,48,137,137,19,6.67,51.44,528.5,3.44,0.49,11.06,3.89,1.95,0.13,0.15,137.4,2.87,29.76,1.47,2.47,0.35,2.65,1.95,0.0
3759,46,22,58,185,185,23,10.0,51.67,530.14,1.74,0.64,6.6,6.67,5.54,0.17,0.13,170.03,2.91,13.05,0.0,2.4,0.0,3.37,2.1,10.0
3760,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.04
3761,173,1,22,120,120,29,10.0,65.92,611.29,5.5,0.46,10.33,3.33,0.0,0.07,0.34,145.8,2.36,26.57,8.46,2.0,0.0,3.8,1.48,1.0
3762,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
3763,29,0,9,30,27,14,0.0,66.67,401.83,4.14,0.0,18.0,0.28,0.28,0.18,0.72,55.06,2.14,116.17,26.83,2.0,0.57,0.0,0.62,0.0
3764,33,6,16,26,26,13,0.0,120.0,644.0,4.12,0.01,7.43,0.56,0.56,0.15,0.73,30.43,3.41,82.86,22.14,2.12,0.0,1.71,0.76,0.0
3765,6,6,20,51,51,3,0.0,0.0,5.0,0.0,0.0,0.0,1.67,0.0,-1.0,0.0,0.1,0.0,-1.0,-1.0,2.33,0.0,4.33,0.57,0.4
3766,0.0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3767,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
3768,70,0,26,72,72,8,6.67,107.3,684.7,4.7,0.35,12.3,1.94,1.94,0.0,0.27,101.54,2.99,63.6,1.1,2.1,0.0,2.6,1.0,1.48
3769,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3770,126,9,10,23,23,13,0.0,40.5,470.75,31.5,0.19,5.25,0.0,0.0,0.31,0.89,22.01,2.63,263.25,596.25,2.75,0.0,1.75,0.48,0.0
3771,40,3,3,12,12,8,0.0,15.5,194.0,20.0,0.02,7.5,0.28,0.28,-1.0,0.38,8.57,3.54,105.5,169.5,2.5,0.0,2.5,0.19,0.0
3772,91,9,12,35,35,12,0.0,224.33,991.67,15.17,0.02,28.33,0.83,0.83,0.01,0.52,121.84,2.79,251.83,159.0,2.6,0.0,2.67,0.62,0.0
3773,51,6,8,18,18,18,0.0,24.5,264.5,12.75,0.16,13.25,0.83,0.41,-1.0,0.76,16.36,1.97,129.5,220.75,2.0,0.0,1.75,0.52,0.0
3774,136,8,73,183,183,34,10.0,70.0,644.35,3.47,0.45,8.4,6.67,6.67,0.14,0.21,226.49,3.03,18.68,8.35,2.2,0.0,3.5,2.1,10.0
3775,17,9,6,19,19,13,0.0,22.75,199.0,4.25,0.32,6.25,0.83,0.62,-1.0,0.41,16.95,2.68,46.25,42.75,2.25,0.0,1.5,0.48,0.0
3777,0.0,0,0,0,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
3781,75,12,38,99,99,18,6.67,109.4,745.1,5.3,0.2,19.0,2.22,1.78,0.12,0.37,100.29,2.33,102.5,17.5,2.45,0.0,3.2,1.05,1.0
3782,5,0,6,26,26,19,10.0,18.67,310.0,1.67,0.67,0.67,0.0,0.0,0.05,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,3.67,0.43,9.0
3785,0.0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3799,90,9,36,96,96,29,10.0,80.45,652.0,5.4,0.47,8.7,1.94,0.0,0.05,0.54,41.83,2.79,99.5,55.5,2.3,0.0,4.73,1.19,0.0
3800,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3801,47,15,38,113,113,30,0.0,70.57,734.08,2.62,0.19,11.43,2.78,0.0,0.14,0.32,184.41,2.48,82.21,2.08,2.38,0.0,3.62,1.52,0.71
3807,47,10,85,127,127,14,10.0,85.71,724.07,2.21,0.63,15.43,3.33,3.33,0.16,0.15,233.11,3.27,67.43,-1.0,2.29,0.0,3.21,1.57,9.0
3812,0.0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0
