Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,5,10,7,14,14,114,0.0,6.0,140.0,1.25,0.88,2.5,0.77,0.39,0.57,0.0,9.81,4.17,3.25,-1.0,0.5,0.75,1.5,0.2,0.04
1985,61,43,83,206,206,43,10.0,12.67,155.51,1.26,0.89,2.28,7.5,6.0,0.71,0.11,127.72,3.48,3.95,0.38,0.22,0.0,3.15,2.17,8.13
2040,45,49,97,192,192,29,0.88,39.68,272.03,1.0,1.0,1.95,7.5,3.45,0.08,0.02,202.49,2.2,0.55,-1.0,0.22,0.0,2.65,2.02,0.39
3142,6,18,13,21,21,136,0.0,14.33,157.67,2.0,0.61,3.67,0.62,0.62,0.25,0.33,7.28,2.8,31.33,21.67,0.67,0.33,4.67,0.17,0.06
3649,3,0,0,7,7,1,0.0,4.5,74.5,1.5,0.25,2.0,0.0,0.0,0.18,0.0,0.94,5.83,-1.0,-1.0,0.0,0.0,0.5,0.12,0.0
3757,148,18,20,61,61,30,0.0,39.43,314.41,4.1,0.39,11.45,2.92,1.46,5.93,0.5,104.4,2.95,103.91,45.57,0.0,0.0,1.05,1.15,0.0
3758,169,31,72,181,181,32,6.67,24.97,277.82,2.8,0.63,2.55,7.5,4.8,1.01,0.54,150.23,2.84,13.3,17.32,0.0,0.41,2.07,2.24,0.0
3759,65,48,74,195,195,40,10.0,34.38,306.85,1.27,0.85,7.64,7.5,5.62,1.23,0.25,230.56,2.84,27.38,1.62,0.22,0.0,2.88,2.02,10.0
3760,16,0,0,8,8,1,0.0,5.71,74.14,2.29,0.46,2.83,0.89,0.38,0.0,0.25,9.08,2.63,1.33,-1.0,0.0,0.0,0.0,0.34,0.04
3761,180,32,42,164,164,35,10.0,66.5,521.35,3.26,0.64,10.62,6.25,4.81,0.39,0.14,356.44,2.21,22.12,1.32,0.0,0.0,2.43,2.2,1.0
3762,36,0,1,15,15,1,0.0,24.38,106.5,4.5,0.6,0.0,1.25,0.0,1.04,0.36,19.49,2.14,7.43,19.29,0.0,0.0,0.0,0.49,0.06
3763,112,7,9,49,49,17,0.0,27.36,200.15,3.0,0.28,4.6,2.92,1.17,1.53,0.57,146.43,1.74,42.92,32.76,0.0,0.0,0.88,1.27,0.0
3764,158,35,52,178,178,21,0.0,15.51,88.97,2.63,0.74,2.0,7.5,1.65,0.87,0.27,56.84,3.33,6.32,13.29,0.0,0.0,2.59,2.24,0.0
3765,126,35,39,167,167,10,0.0,3.08,21.95,1.51,0.93,0.81,7.5,0.82,6.2,0.33,29.13,2.78,3.16,4.32,0.0,0.0,2.58,1.85,0.4
3766,33,10,13,34,34,5,0.0,15.25,75.56,1.33,0.65,0.0,2.71,1.68,11.97,0.42,35.16,1.75,0.87,3.67,0.0,0.0,0.31,0.93,0.0
3767,49,0,1,27,27,3,0.0,16.11,130.0,1.78,0.72,2.11,1.67,1.67,3.68,0.49,33.06,2.02,2.89,0.0,0.0,0.0,0.67,0.54,0.06
3768,141,22,43,191,191,17,4.43,35.92,256.77,2.52,0.7,4.92,7.5,7.5,1.32,0.44,216.49,2.59,23.9,11.92,0.0,0.03,2.63,2.05,1.48
