Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1062,0.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1231,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
1236,0.0,0,0,0,0,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.18
1964,0.0,0,0,0,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
2156,0.0,0,0,0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
2848,0.0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.36
2849,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.12
2850,0.0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.21
2851,87,7,72,260,260,119,1.1,167.95,1323.73,3.23,0.5,20.59,6.67,6.67,0.13,0.39,547.71,3.34,59.14,13.1,0.86,1.0,4.23,2.87,2.39
2852,51,11,29,284,284,70,10.0,54.27,570.82,1.86,0.76,8.91,6.67,6.67,0.18,0.1,288.81,2.2,3.32,0.68,1.13,1.0,4.9,3.0,9.37
2853,22,16,57,202,202,73,3.33,65.67,648.74,0.95,0.71,6.39,4.72,4.72,0.07,0.09,354.54,2.5,4.33,0.0,0.89,0.0,4.05,2.43,4.37
2854,39,11,57,254,254,45,3.33,22.84,266.05,1.55,0.71,2.32,5.83,0.0,0.03,0.18,107.34,2.72,6.3,1.9,1.24,1.0,4.71,2.61,2.17
2855,55,14,57,275,275,66,3.33,21.52,236.82,1.67,0.68,2.95,6.67,1.2,0.03,0.18,59.6,2.6,4.86,2.62,0.96,1.0,4.55,2.87,5.0
2856,28,15,17,239,239,49,0.0,43.95,435.55,1.14,0.66,5.8,5.42,4.06,0.06,0.14,162.03,2.23,21.33,0.0,1.0,0.0,4.67,2.48,7.49
2857,2,7,5,22,22,33,0.0,40.5,295.0,0.5,0.0,1.5,0.0,0.0,-1.0,0.5,4.95,1.68,16.25,3.75,0.75,0.5,3.25,0.35,0.87
2858,8,17,13,63,63,32,3.33,68.8,652.0,0.8,0.71,6.4,1.11,1.11,0.17,0.12,29.57,2.5,4.33,-1.0,0.2,0.0,5.17,0.74,6.83
