Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1062,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1231,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
1236,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.18
1964,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
2156,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
2848,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.36
2849,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.12
2850,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.21
2851,29,0,31,110,109,87,0.0,45.91,468.27,1.45,0.37,6.27,2.33,1.17,0.03,0.14,71.3,2.89,20.55,0.0,1.17,1.55,2.58,1.72,2.39
2852,28,7,4,246,246,42,10.0,23.5,259.38,1.14,0.87,2.25,5.0,2.5,0.05,0.32,71.6,2.22,5.07,4.31,1.69,1.59,4.53,2.72,9.37
2853,15,19,50,121,121,42,0.0,51.69,489.0,0.58,0.54,3.85,3.33,3.33,0.06,0.2,158.22,2.31,6.85,0.0,1.0,1.31,2.5,2.0,4.37
2854,2,8,17,29,29,30,0.0,22.4,190.2,0.4,0.4,0.0,0.67,0.45,-1.0,0.0,7.32,2.5,0.0,-1.0,0.6,1.2,1.2,0.67,2.17
2855,12,14,49,160,160,36,3.33,23.73,216.0,1.0,0.95,1.0,3.33,1.67,0.0,0.08,42.95,2.07,6.0,0.0,1.18,2.18,3.36,1.89,5.0
2856,23,8,32,171,171,24,3.33,67.83,601.33,1.5,0.56,12.5,3.33,3.33,0.04,0.3,143.64,2.94,48.42,0.0,2.54,1.54,3.46,1.89,7.49
2857,0.0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.87
2858,16,14,28,114,114,22,3.33,129.67,667.88,1.0,0.68,19.56,2.0,2.0,0.24,0.56,132.26,2.46,31.88,1.38,1.62,1.78,3.56,1.39,6.83
2859,22,11,73,188,188,36,6.67,22.57,341.73,1.2,0.7,3.2,4.0,2.68,0.09,0.0,113.16,1.83,8.93,-1.0,1.67,1.62,2.93,2.5,3.54
2860,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.18
2861,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.18
2862,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.23
2863,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.57
2864,29,15,55,205,205,55,10.0,82.77,940.07,1.5,0.77,8.86,4.0,3.0,0.05,0.17,173.6,3.8,11.77,0.0,1.71,2.0,3.57,2.39,8.08
2865,0.0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.11
2866,0.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.92
2867,0.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
2891,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1268,10,8,55,108,108,16,0.0,0.0,8.0,0.0,0.0,0.0,3.33,0.0,-1.0,0.0,0.66,0.0,-1.0,-1.0,1.33,1.4,2.9,1.59,2.39
1487,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.09
1555,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.42
1567,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.3
1931,0.0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2155,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2225,0.0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2535,20,8,60,214,214,56,10.0,73.5,765.38,1.06,1.0,8.38,6.67,6.67,0.1,0.0,175.58,3.4,11.25,-1.0,1.88,1.38,3.62,3.0,10.0
2546,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2553,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2554,11,8,15,145,145,60,10.0,226.7,1227.0,1.1,0.65,6.67,2.0,1.0,0.04,0.18,120.23,3.58,11.33,0.0,1.89,1.22,3.33,1.65,6.68
2763,0.0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2806,47,15,40,216,216,33,10.0,0.07,9.27,1.56,1.0,0.0,6.67,0.0,0.0,0.64,1.0,0.0,6.5,12.69,1.75,1.5,3.12,3.0,8.52
2807,29,5,32,205,205,39,10.0,0.07,10.93,1.0,1.0,0.19,6.67,0.0,0.0,0.38,1.54,0.0,0.0,0.0,1.69,1.38,2.93,3.0,8.76
2808,22,14,91,196,196,42,10.0,51.19,415.44,1.19,0.91,2.38,6.67,2.67,0.02,0.14,76.49,3.58,7.25,0.94,1.88,1.38,3.0,3.0,8.17
2809,13,8,57,230,230,51,5.0,7.36,104.73,1.08,0.58,0.36,2.33,0.0,0.01,0.38,6.98,4.57,3.55,0.91,2.5,1.6,7.36,1.82,1.73
2810,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.64
2811,47,8,97,256,256,47,0.0,4.46,103.5,1.86,0.92,0.93,6.67,0.0,0.0,0.66,39.22,3.97,17.43,18.93,2.27,1.46,6.14,2.65,4.97
2812,34,36,85,190,190,44,10.0,60.13,660.69,1.47,0.74,6.25,6.67,6.67,0.07,0.21,166.02,3.16,20.38,1.0,1.62,1.19,2.88,3.0,8.18
2813,53,14,72,232,232,81,5.0,208.88,1523.62,2.0,0.53,39.94,6.67,6.67,0.04,0.25,555.58,2.34,99.62,5.0,1.69,1.29,4.5,2.76,7.78
2814,60,3,63,270,270,74,5.0,136.15,1543.92,3.38,0.34,51.15,3.55,3.55,0.53,0.53,482.41,3.46,210.46,7.08,2.29,2.14,7.92,2.24,8.18
2815,40,14,18,207,207,108,10.0,40.62,369.69,1.75,0.82,6.19,6.67,3.33,0.37,0.15,96.01,2.84,11.38,0.0,1.27,1.24,3.06,2.94,10.0
2816,22,8,57,193,193,27,10.0,2.57,39.5,1.21,0.92,0.23,5.67,0.0,0.0,0.27,0.98,0.0,3.71,2.93,1.5,1.43,3.0,2.18,6.1
2817,48,17,66,176,176,34,10.0,14.71,232.35,2.5,0.66,1.4,6.67,3.33,0.54,0.38,56.93,3.26,7.47,9.27,1.62,1.18,2.88,2.88,10.0
