user_id,class_id,logins,comments,blank_line,lloc,count_if,count_loop,count_var,syntax_grade,log_rows,deleted_coef,writed_coef,pasted_coef,focus_time,writed_time,early_often,error_coef,submit_coef,jadud,amount_of_change,procastination,correct,incorrect,blank,homework_grade,exam_grade,label,final_grade
2244,143,76.0,8.0,12.0,103.8,23.0,3.8,36.6,0.304,5553.4,0.1468167232479189,0.5923359531228201,0.26084732362926105,75.4231969197591,24.430053176879884,345.0889740342337,0.5290909090909091,0.17045454545454544,22.733235581412515,72.22326494973763,16308705.8,0.912,0.008,0.08,8.86,7.86,1,8.21
2245,143,231.0,11.125,22.75,78.875,16.625,3.75,28.125,0.30851063829787234,7348.375,0.15968764146672704,0.43759619737437755,0.4027161611588954,71.67887783050537,20.139810427029925,350.2425944970143,0.32066508313539194,0.20134228187919462,16.194134740701646,83.2864034521842,10008617.5,0.900709219858156,0.028368794326241134,0.07092198581560284,8.71,8.57,1,9.23
2246,143,50.0,25.25,17.75,117.0,27.0,3.0,39.5,0.3317757009345794,4492.5,0.15374024782010096,0.5711007670622172,0.2751589851176818,77.76639997561773,22.833595840136212,317.57912399904376,0.3721973094170404,0.4838709677419355,12.529964086141668,43.85487430149584,20539302.5,0.794392523364486,0.009345794392523364,0.19626168224299065,7.64,9.29,1,9.21
2247,143,48.0,23.25,26.25,91.5,24.75,1.5,32.0,0.3177083333333333,2269.25,0.04021734082570937,0.21571541355129337,0.7440672456229973,38.512104609608656,15.045954050620397,202.39874011465585,0.4766355140186916,0.43548387096774194,10.392304845413264,26.814175355583846,19385858.25,0.6458333333333334,0.0625,0.2916666666666667,7.05,3.33,0,2.57
2248,143,39.0,9.25,19.25,119.75,27.0,2.5,41.75,0.3977272727272727,3238.25,0.1147652528918122,0.28215014742572014,0.6030845996824676,29.691816637168326,10.338324881220856,259.6863492754288,0.6206896551724138,0.2761904761904762,15.427248620541512,52.97640984438262,21752981.75,0.875,0.11363636363636363,0.011363636363636364,9.52,5.0,1,5.35
2249,143,127.0,24.0,12.0,114.75,23.5,2.5,43.25,0.31140350877192985,6596.5,0.0634984716534979,0.1680604417786493,0.7684410865678528,126.93098306655884,25.774841726819673,312.4263913308221,0.4179523141654979,0.16393442622950818,25.5049014897137,86.37563313805578,19031124.75,0.8947368421052632,0.02631578947368421,0.07894736842105263,9.23,5.0,1,6.35
2250,143,107.0,12.4,26.2,102.6,23.2,4.4,36.2,0.3584905660377358,3754.8,0.12733767598234924,0.7158366603628213,0.15682566365482944,75.73791028181712,30.753066563208897,314.0312086401605,0.5882352941176471,0.12987012987012986,19.498717906570164,41.34972793139031,16537811.6,0.9528301886792453,0.03773584905660377,0.009433962264150943,9.92,7.14,1,8.46
2251,143,58.0,15.0,10.666666666666666,76.83333333333333,18.5,2.1666666666666665,25.333333333333332,0.21428571428571427,3279.0,0.08229305145747544,0.232450309652735,0.6852566388897896,42.732518863677974,12.958355530103049,251.45211605128057,0.610062893081761,0.31666666666666665,16.314615124687027,70.92484285025475,11517098.333333334,0.7894736842105263,0.05263157894736842,0.15789473684210525,7.81,7.14,1,8.04
2252,143,65.0,17.0,11.8,102.4,23.2,9.6,31.4,0.31512605042016806,4756.0,0.2381723733452494,0.5629782717980226,0.19884935485672792,117.61105573018389,27.89999354362488,329.19234498997696,0.40384615384615385,0.24,15.192103211866355,58.950826966209725,15966970.6,0.8823529411764706,0.025210084033613446,0.09243697478991597,9.07,7.86,1,8.71
2253,143,106.0,19.25,29.5,114.0,25.25,2.75,38.25,0.3901098901098901,11695.5,0.17087459173622271,0.35901290891181503,0.47011249935196225,158.77922426859539,39.671642168362936,466.2603886242107,0.3073270013568521,0.031413612565445025,32.817678162843876,109.70756582843318,20767967.0,0.978021978021978,0.02197802197802198,0.0,9.84,9.29,1,9.66
2254,143,61.0,22.6,9.0,96.8,22.0,2.8,32.4,0.3050847457627119,6317.0,0.2150501247832156,0.5108497948479337,0.27410008036885075,123.61895530700683,29.97635644117991,342.20607826279183,0.6424148606811145,0.24793388429752067,26.709548854295537,75.98289281147434,15239171.6,0.7457627118644068,0.00847457627118644,0.2457627118644068,6.36,7.86,1,5.82
2255,143,78.0,23.75,20.75,118.0,27.5,2.25,40.5,0.336734693877551,3892.25,0.09440115963036783,0.2252219605000906,0.6803768798695415,67.57144102454185,18.838983289400737,261.704986578399,0.42585551330798477,0.29545454545454547,14.317821063276353,49.907414278842374,20189103.75,0.8061224489795918,0.11224489795918367,0.08163265306122448,7.94,5.71,1,7.32
2256,143,17.0,21.0,12.5,44.0,2.0,1.0,26.0,0.3068181818181818,4348.5,0.07466880770774789,0.3201124046567643,0.6052187876354878,70.41850817998251,21.480733569463094,225.75096899016845,0.6936936936936937,0.40625,17.60681686165901,34.74910070778811,11424279.0,0.6818181818181818,0.022727272727272728,0.29545454545454547,5.63,10.0,0,0.59
2258,143,119.0,27.0,20.0,116.25,25.75,2.5,40.75,0.31140350877192985,4633.25,0.08295122967903293,0.2444958126492099,0.6725529576717572,76.35182100931803,19.905308338006336,283.2551853011697,0.4041994750656168,0.234375,17.175564037317667,57.28437832428663,20169769.25,0.8596491228070176,0.03508771929824561,0.10526315789473684,8.45,8.57,1,7.95
2259,143,65.0,21.5,21.0,117.5,25.25,2.75,40.5,0.3622448979591837,726.0,0.017268974812568443,0.036559683261730265,0.9461713419257013,14.0423958192269,2.177275029569864,100.13241233486788,0.546875,0.6818181818181818,11.937336386313323,47.38934479395131,21519711.75,0.7959183673469388,0.061224489795918366,0.14285714285714285,8.93,4.29,1,5.57
2260,143,44.0,9.25,13.25,48.0,7.0,2.25,15.75,0.09900990099009901,398.25,0.2198233562315996,0.6270853778213935,0.15309126594700687,6.85623768568039,2.343816673755646,93.61356739276631,0.23809523809523808,0.13636363636363635,5.315072906367325,12.227019260637483,3575332.5,0.5148514851485149,0.039603960396039604,0.44554455445544555,5.6,2.86,0,4.04
2261,143,170.0,13.5,23.875,79.625,15.0,3.5,29.25,0.3049645390070922,6347.25,0.1515996442564238,0.5569309905535659,0.2914693651900103,91.53670774499575,35.088209871451056,359.55893119209264,0.4765807962529274,0.18518518518518517,20.660953511394386,72.87575042495274,11538283.625,0.8368794326241135,0.07092198581560284,0.09219858156028368,7.97,6.66,1,7.44
