Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1088,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1175,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1278,87,76,19,129,129,42,10.0,31.33,331.67,3.67,0.66,0.0,6.67,3.33,2.23,0.11,76.87,2.89,0.0,0.88,0.0,0.0,2.89,2.74,2.59
1279,14,7,9,34,34,9,0.0,29.1,177.78,1.11,0.52,0.0,2.71,1.17,0.09,0.14,19.58,3.03,0.0,0.0,0.0,0.0,0.0,1.16,0.01
1280,39,73,55,108,108,10,10.0,45.56,363.53,1.44,0.93,0.0,6.67,6.67,0.8,0.05,102.92,2.82,0.0,0.0,0.37,0.0,2.89,2.63,0.0
1281,53,65,45,102,102,35,10.0,34.59,359.65,2.33,0.67,0.0,6.67,3.33,0.45,0.3,96.61,3.19,2.89,7.56,0.42,0.0,2.95,2.68,8.31
1283,30,9,14,80,80,27,5.0,134.31,686.87,1.67,0.59,0.0,5.33,4.42,0.01,0.07,86.99,4.75,0.0,0.0,0.0,0.0,2.19,2.11,8.39
1284,39,57,35,100,100,56,10.0,25.76,402.32,1.67,0.75,0.0,6.67,5.74,0.18,0.46,114.08,2.9,4.33,13.67,0.0,0.0,2.79,2.53,8.67
1285,44,17,7,115,115,40,10.0,57.17,390.39,1.41,0.76,0.0,6.67,3.33,0.34,0.02,92.35,4.84,-1.0,0.0,0.0,0.0,3.11,2.58,7.93
1286,32,44,50,94,94,81,10.0,27.35,374.78,1.06,0.97,0.0,6.67,3.33,1.86,0.19,99.47,3.92,0.0,0.83,0.0,0.0,1.83,2.58,6.65
1287,48,3,8,60,60,19,10.0,28.25,406.85,2.92,0.37,0.0,3.38,1.69,0.03,0.35,98.2,2.76,1.0,10.0,0.0,0.0,1.31,1.74,5.39
1289,38,60,18,96,96,53,10.0,44.32,301.76,1.47,0.76,0.0,6.67,6.67,2.85,0.08,113.78,3.71,0.0,0.89,0.37,0.0,2.56,2.74,3.91
1290,8,3,6,24,24,2,0.0,16.0,145.5,1.0,1.0,0.0,3.33,2.36,0.0,0.0,20.92,3.75,-1.0,-1.0,0.0,0.0,0.0,0.84,0.11
1291,45,11,24,101,101,29,5.0,57.33,463.94,1.71,0.71,0.0,6.19,4.15,1.0,0.44,133.42,2.14,2.0,5.29,0.0,0.0,3.11,2.26,6.73
1292,50,0,26,103,103,46,10.0,18.44,182.33,2.28,0.6,0.0,6.33,3.17,0.5,0.22,60.85,2.3,0.65,5.18,0.0,0.0,3.0,2.84,6.19
1293,59,29,6,101,101,57,10.0,33.12,300.71,1.94,0.82,0.0,6.67,3.33,2.5,0.19,147.63,2.17,0.76,2.35,0.0,0.0,2.84,2.58,5.4
1294,45,26,54,104,104,67,0.0,27.0,270.33,1.89,0.68,0.0,6.67,4.0,0.13,0.16,61.9,3.36,0.0,0.0,0.0,0.0,2.89,2.63,3.28
1295,53,5,48,104,104,47,10.0,44.33,341.28,1.41,0.89,0.0,6.67,6.67,0.83,0.34,159.1,2.34,3.61,8.61,0.0,0.0,2.72,2.42,9.0
1296,87,57,55,104,104,44,10.0,52.56,392.59,2.94,0.55,0.0,6.67,3.33,1.44,0.39,144.12,2.12,5.67,15.94,0.0,0.0,2.72,2.95,7.95
1297,51,24,25,88,88,29,0.0,36.53,228.71,2.6,0.54,0.0,4.29,1.24,0.3,0.35,81.55,2.28,5.2,13.33,0.0,0.0,3.06,2.11,1.59
1298,63,51,49,104,104,80,10.0,45.83,483.17,2.5,0.61,0.0,6.67,5.87,0.11,0.08,150.66,2.79,0.0,2.5,0.0,0.0,3.32,2.58,6.44
1299,72,61,58,107,107,28,10.0,37.12,432.72,2.0,0.81,0.0,6.67,3.33,0.62,0.1,124.89,2.52,1.17,2.0,0.37,0.0,3.16,2.58,5.01
1300,27,7,10,74,74,40,5.0,65.92,487.25,2.25,0.55,0.0,3.57,2.53,0.03,0.3,69.09,2.65,1.18,2.27,0.0,0.0,3.0,1.58,7.61
1302,24,23,31,74,74,16,0.0,44.54,444.21,1.36,0.65,0.0,4.52,3.39,0.38,0.29,82.94,2.32,1.86,3.64,0.0,0.0,2.33,1.95,1.14
1303,103,35,3,98,98,48,5.0,36.12,356.76,2.94,0.53,0.0,6.67,3.33,0.72,0.53,137.44,1.91,4.18,15.71,0.0,0.0,2.67,2.53,5.01
1304,33,55,9,108,108,76,10.0,30.53,425.89,1.33,0.93,0.0,6.67,5.54,0.05,0.24,156.39,3.01,0.0,0.0,0.0,0.0,2.67,2.53,10.0
1305,22,32,20,65,65,21,10.0,97.91,547.0,1.0,0.67,0.0,3.24,1.62,0.39,0.5,74.08,2.31,0.0,1.36,0.0,0.0,2.5,1.63,3.92
1306,71,10,6,110,110,43,10.0,28.18,315.61,2.41,0.59,0.0,6.67,4.0,0.01,0.35,111.45,2.0,4.5,14.94,0.0,0.0,2.84,2.68,6.05
1307,49,30,60,112,112,61,10.0,94.17,1022.83,2.17,0.65,0.0,6.67,5.0,0.24,0.08,268.61,2.36,0.0,1.67,0.0,0.0,3.17,2.84,8.83
1308,73,21,31,101,101,67,10.0,25.06,250.33,3.84,0.51,0.0,6.67,6.67,0.62,0.33,105.29,2.29,2.76,10.0,0.0,0.0,2.5,2.68,10.0
1309,58,18,75,107,108,53,10.0,56.63,458.39,1.89,0.74,0.0,6.67,3.33,0.0,0.31,161.45,2.61,1.44,5.61,0.0,0.0,2.72,2.63,8.07
1310,107,19,6,106,106,40,10.0,64.33,582.28,2.29,0.65,0.0,6.67,3.33,0.25,0.08,218.36,2.65,0.0,1.67,0.0,0.0,3.11,2.58,10.0
1311,55,27,32,93,93,19,0.0,30.47,454.65,2.24,0.67,0.0,5.71,5.02,0.63,0.38,84.38,4.11,2.65,9.0,0.0,0.0,2.76,2.53,0.33
1312,48,23,31,99,99,15,0.0,50.33,378.62,2.0,0.67,0.0,6.67,4.74,0.21,0.48,174.79,2.44,5.71,15.71,0.0,0.0,2.94,2.58,0.0
1313,20,0,14,100,100,46,0.0,18.83,228.67,1.0,0.97,0.0,6.67,4.14,0.11,0.05,42.14,4.49,-1.0,0.0,0.0,0.0,2.84,2.74,5.17
1314,77,35,62,105,105,50,5.0,96.71,623.22,3.56,0.55,0.0,6.67,3.33,0.18,0.26,124.26,3.61,6.83,17.39,0.0,0.0,2.78,2.58,6.82
1315,37,25,50,101,101,38,0.0,51.5,459.94,1.72,0.66,0.0,6.67,3.33,0.85,0.22,119.61,2.89,0.0,2.39,0.0,0.0,2.74,2.53,5.47
1316,16,0,0,23,23,1,0.0,20.5,95.8,1.6,0.64,0.0,2.38,1.19,-1.0,0.12,31.36,1.6,-1.0,5.0,0.0,0.0,0.0,0.68,6.35
1393,21,31,52,103,103,48,10.0,21.61,310.28,1.0,1.0,0.0,6.67,5.74,0.19,0.0,90.29,2.52,-1.0,-1.0,0.0,0.0,2.95,2.53,6.87
1434,25,27,41,100,100,40,5.0,42.94,442.58,1.12,0.84,0.17,6.67,3.33,5.96,0.16,117.84,2.31,0.72,2.5,0.0,0.0,2.68,2.68,5.32
1462,68,18,31,113,113,55,0.0,31.35,442.5,2.61,0.61,0.0,6.67,5.87,0.34,0.13,114.02,3.27,0.72,1.82,0.0,0.0,3.0,2.79,4.3
1464,56,0,59,105,105,45,10.0,30.5,328.33,2.0,0.72,0.0,6.67,5.87,0.48,0.2,105.83,2.72,1.24,5.53,0.0,0.0,3.16,2.74,5.6
1465,14,19,38,79,79,52,5.0,16.45,106.45,0.91,0.93,0.0,3.33,0.0,4.98,0.21,5.45,1.24,0.0,0.0,0.0,0.0,4.82,1.79,6.79
1565,63,41,48,107,107,39,5.0,55.61,427.33,2.22,0.62,0.0,6.67,5.34,0.54,0.02,97.91,3.97,-1.0,0.0,0.0,0.0,3.0,2.84,5.02
1573,9,24,18,10,10,20,0.0,65.5,371.17,0.83,0.75,0.0,2.86,2.86,6.37,0.33,32.29,2.42,0.0,0.0,1.0,0.0,0.0,1.0,0.23
1575,120,0,39,106,106,38,10.0,25.39,357.56,5.06,0.47,0.0,6.67,6.67,0.37,0.7,95.18,2.61,33.94,82.61,0.0,0.0,3.32,2.84,2.78
1610,19,4,33,103,103,34,10.0,7.33,9.41,0.0,0.0,0.0,6.67,0.0,14.28,0.0,1.08,0.0,-1.0,-1.0,0.0,0.0,2.95,2.68,6.27
1612,96,8,52,108,108,43,10.0,45.56,454.11,3.11,0.7,0.0,6.67,5.87,0.13,0.64,133.54,2.65,13.72,32.78,0.0,0.0,2.89,3.0,5.43
1667,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1697,10,20,0,26,26,3,0.0,56.5,470.38,1.0,0.73,0.0,3.33,3.33,-1.0,0.0,52.32,3.07,-1.0,-1.0,0.25,0.0,0.38,1.16,0.0
1705,158,67,71,111,111,56,10.0,60.94,489.72,4.0,0.44,0.72,6.0,4.5,0.19,0.64,249.61,2.37,17.5,36.39,0.0,0.0,2.83,2.74,0.0
1718,7,0,0,6,6,10,0.0,77.0,437.67,2.33,0.33,0.0,0.95,0.95,0.29,0.43,28.49,2.11,8.67,11.67,0.0,0.0,0.0,0.37,0.48
1719,28,0,1,25,25,11,0.0,49.67,241.0,2.17,0.65,0.0,3.33,1.9,0.0,0.21,57.86,2.12,0.0,4.17,0.0,0.0,0.0,1.11,0.48
1171,0.0,0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1231,52,29,47,103,103,31,10.0,64.83,488.12,2.18,0.58,0.0,6.67,6.67,0.06,0.25,121.92,3.33,2.61,13.0,0.0,0.0,3.11,2.68,6.55
1232,32,68,66,105,105,34,10.0,15.39,226.83,1.28,0.88,0.0,6.67,3.33,2.94,0.25,99.85,2.2,0.0,0.0,0.0,0.0,2.95,2.68,10.0
1233,1017,36,49,100,100,30,10.0,93.06,738.56,19.61,0.48,0.0,6.67,4.47,0.25,0.19,168.43,2.61,40.5,101.22,0.0,0.0,2.84,2.68,7.07
1234,57,33,32,103,103,33,5.0,88.71,826.11,2.61,0.55,0.0,6.67,5.34,0.08,0.07,248.42,2.05,0.0,0.83,0.0,0.0,3.11,2.68,5.64
1235,22,29,27,95,95,17,0.0,21.89,288.39,1.22,0.91,0.0,6.19,4.15,0.7,0.09,83.76,3.15,-1.0,0.0,0.0,0.0,2.89,2.47,4.8
1236,23,15,17,72,72,23,0.0,37.54,386.23,1.08,0.55,0.0,3.43,3.43,0.14,0.0,103.3,2.46,-1.0,-1.0,0.0,0.0,2.71,1.74,0.45
