Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1168,2,0,0,6,6,64,0.0,2.5,46.0,1.0,0.25,0.0,0.18,0.18,3.2,0.5,2.99,0.0,-1.0,7.5,0.0,0.0,0.0,0.12,0.0
1502,20,6,9,39,39,5,0.0,47.33,404.17,3.33,0.1,0.0,0.83,0.69,-1.0,0.05,32.97,3.84,-1.0,0.0,0.4,0.0,3.17,0.35,0.01
1591,247,44,99,208,208,84,5.0,51.62,484.34,4.89,0.46,0.15,7.5,5.62,0.02,0.44,446.2,2.45,13.71,31.47,0.18,0.0,2.64,2.33,9.0
2182,287,37,64,200,200,56,10.0,72.59,521.13,5.1,0.53,0.08,7.5,5.62,0.32,0.46,336.05,2.54,13.0,33.59,0.22,0.0,3.15,2.4,5.0
2306,29,0,8,46,46,16,0.0,5.06,54.29,1.47,0.77,0.24,3.33,1.33,2.35,0.21,32.19,3.39,1.53,3.24,0.0,0.0,0.65,0.95,0.0
2495,107,39,23,204,204,116,10.0,25.08,253.5,1.89,0.71,0.21,7.5,6.9,0.53,0.17,204.44,2.71,0.65,5.85,0.22,0.0,3.03,2.25,9.0
2535,14,0,3,26,26,6,0.0,3.88,50.75,1.0,1.0,0.0,1.43,0.54,1.02,0.07,11.51,3.4,-1.0,-1.0,0.0,0.0,0.88,0.5,0.0
2613,36,39,36,83,83,6,5.0,29.92,312.21,2.57,0.63,0.0,2.5,0.0,0.01,0.44,46.58,1.86,15.46,15.31,0.64,0.0,4.07,0.7,1.0
2639,6,9,4,24,24,7,0.0,20.5,146.25,0.12,0.0,0.0,0.18,0.07,0.01,0.0,99.59,2.19,-1.0,-1.0,0.22,0.0,0.5,0.45,0.0
2869,48,0,16,77,77,6,0.0,9.88,137.24,2.12,0.56,0.0,0.0,0.0,0.33,0.33,52.62,2.9,3.06,11.61,0.0,0.0,2.37,1.12,0.0
3031,193,30,124,204,204,138,5.0,75.0,534.65,4.08,0.49,0.16,7.5,1.5,0.23,0.43,410.46,2.68,13.03,28.47,0.0,0.0,3.05,2.25,9.0
3222,60,43,79,204,204,59,10.0,38.29,331.92,1.33,0.89,0.18,7.5,6.0,0.03,0.15,294.92,2.88,0.21,1.9,0.22,0.0,3.15,2.25,9.0
3223,121,39,95,188,188,40,10.0,24.38,233.53,2.66,0.61,0.13,7.5,5.55,0.03,0.31,169.35,2.93,5.5,9.83,0.22,0.0,2.67,2.28,8.0
3224,102,39,47,178,178,24,10.0,17.16,207.82,1.76,0.72,0.08,7.5,5.25,0.0,0.27,99.78,3.31,2.34,5.53,0.22,0.0,2.5,2.3,9.0
3225,166,104,98,199,199,89,10.0,64.08,465.64,2.95,0.7,0.0,7.5,5.93,0.0,0.34,353.94,3.64,5.11,14.05,0.25,0.0,2.68,2.08,9.0
3226,85,39,47,192,192,27,10.0,24.67,212.19,1.97,0.69,0.55,6.25,5.88,0.0,0.09,101.59,3.73,1.03,1.91,0.26,0.0,3.58,1.8,6.0
3227,47,40,69,193,193,21,0.0,12.32,198.24,0.95,1.0,0.39,7.5,6.22,0.06,0.02,130.1,2.55,0.0,0.0,0.22,0.0,2.9,2.0,5.0
3228,95,39,64,184,184,16,5.0,24.62,236.51,1.43,0.75,0.76,7.14,5.21,0.0,0.39,132.05,2.97,4.92,6.84,0.23,0.0,2.87,2.08,2.0
3229,139,44,60,174,174,16,5.0,24.03,286.08,2.74,0.58,0.19,6.88,3.99,0.04,0.53,262.27,2.19,9.77,29.42,0.24,0.0,2.59,2.1,0.0
3230,142,40,59,182,182,56,10.0,27.56,244.76,2.92,0.59,0.08,7.29,4.08,0.02,0.55,319.0,2.34,14.47,27.89,0.23,0.0,2.47,2.5,9.0
3231,113,38,49,179,179,22,5.0,13.0,133.47,2.32,0.6,0.0,6.52,4.04,0.0,0.46,107.15,3.4,5.7,15.43,0.18,0.0,2.57,2.35,8.0
3232,89,41,31,150,150,27,10.0,33.61,313.62,1.9,0.68,0.35,5.83,4.61,0.16,0.22,140.35,3.97,1.57,4.68,0.24,0.0,3.12,1.75,9.0
3233,58,31,31,187,187,54,10.0,12.14,155.34,1.21,0.94,0.0,7.5,6.22,0.58,0.05,170.45,1.82,0.0,0.0,0.23,0.0,2.66,2.2,8.79
3234,35,39,28,160,160,16,10.0,12.54,155.78,1.08,0.93,0.12,4.73,2.55,-1.0,0.09,85.02,2.71,0.5,0.56,0.35,0.0,3.63,1.5,4.0
3235,59,39,74,171,171,33,10.0,25.97,241.94,1.24,0.84,0.31,6.67,5.34,0.0,0.08,190.91,2.1,0.0,1.25,0.24,0.0,2.81,1.98,9.0
3236,145,21,85,184,184,38,10.0,35.67,277.84,2.24,0.71,0.0,7.5,2.85,0.08,0.3,323.19,2.61,3.08,10.5,0.0,0.0,2.64,2.17,9.0
3237,191,38,61,174,174,135,0.0,31.05,173.5,4.03,0.47,0.0,7.5,5.4,0.11,0.55,273.19,2.64,10.57,30.27,0.24,0.0,2.38,2.38,8.47
3238,137,35,44,209,209,46,10.0,31.97,257.97,1.97,0.8,1.26,7.29,6.42,0.02,0.26,296.73,1.8,11.41,7.18,0.0,0.0,3.26,2.2,8.0
3239,162,39,46,194,194,72,5.0,25.17,318.14,2.92,0.55,0.0,7.5,4.88,0.04,0.46,188.14,3.59,10.1,26.33,0.22,0.0,2.87,2.35,9.0
3240,116,39,25,190,190,80,5.0,35.1,296.33,1.97,0.74,0.05,7.5,7.5,0.83,0.23,148.28,3.27,0.89,1.51,0.22,0.0,2.69,2.17,9.0
3241,195,33,72,178,177,45,10.0,47.41,441.08,4.03,0.43,3.32,5.62,5.62,0.84,0.28,448.31,1.97,18.88,14.0,0.19,0.0,2.86,2.1,2.0
3242,308,38,70,161,161,34,5.0,33.21,224.91,5.31,0.53,0.34,6.46,4.01,0.2,0.77,230.82,2.05,30.32,70.03,0.2,0.0,2.57,2.0,6.0
3243,143,44,88,240,240,72,5.0,26.95,327.33,2.22,0.66,1.42,7.5,5.62,0.02,0.32,235.96,2.27,6.57,15.77,0.23,0.0,3.33,2.2,5.57
3244,200,38,126,210,210,39,0.0,27.19,230.31,3.08,0.71,0.74,7.5,6.53,0.04,0.3,294.46,2.15,5.35,14.29,0.23,0.0,2.74,1.98,9.0
3245,111,48,73,188,188,41,10.0,22.69,268.19,2.0,0.74,0.05,7.5,4.42,0.0,0.18,209.23,3.26,0.0,2.63,0.22,0.0,2.64,2.15,8.0
3246,53,36,71,189,189,52,10.0,30.87,280.36,1.08,0.96,0.08,7.5,5.03,0.94,0.15,224.95,2.2,0.21,1.22,0.0,0.0,2.63,2.15,9.0
3247,30,39,34,92,92,15,0.0,5.35,159.62,0.95,0.89,0.0,3.75,2.25,0.0,0.3,52.46,1.9,2.48,0.0,0.41,0.0,2.24,1.25,5.0
