Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1305,32,0,10,102,102,16,10.0,27.0,247.64,2.67,0.69,1.27,5.0,5.0,0.12,0.28,32.58,2.66,7.82,13.55,2.0,0.0,3.67,2.92,7.53
1323,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.17
1325,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.1
1330,79,0,5,87,87,25,10.0,18.08,315.33,4.73,0.39,6.25,3.33,3.33,0.35,0.33,49.32,2.76,12.82,2.36,1.91,0.0,3.18,2.58,2.81
1331,54,0,5,96,96,54,10.0,63.17,631.58,3.09,0.67,10.55,5.0,5.0,0.11,0.43,122.69,2.61,16.45,1.36,2.0,0.0,3.0,3.0,2.9
1338,51,0,22,87,87,21,10.0,46.36,406.73,3.09,0.37,5.55,3.89,3.89,0.03,0.22,48.02,4.44,14.27,8.18,2.18,0.0,3.09,2.75,2.58
1345,0.0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.1
1346,30,0,0,94,94,16,10.0,16.27,260.82,1.64,0.72,4.09,5.0,3.75,0.0,0.07,67.29,2.21,3.55,-1.0,1.91,0.0,2.91,3.0,2.63
1350,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.06
1356,3,0,3,11,11,14,0.0,59.5,430.0,1.5,0.75,7.0,1.11,1.11,0.18,0.33,17.91,2.52,30.0,-1.0,0.0,0.0,1.5,0.5,0.18
1437,8,0,4,14,14,1,0.0,34.5,413.5,0.0,0.12,4.0,0.56,0.56,0.17,0.38,14.46,2.98,19.5,42.5,1.0,0.0,3.0,0.42,0.11
1448,38,60,44,87,87,38,3.33,194.55,1064.3,2.3,0.62,7.2,5.0,2.5,0.26,0.18,314.41,1.48,25.5,0.0,1.82,0.27,3.3,2.67,0.71
1454,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.2
1462,50,20,39,91,91,27,0.0,31.6,509.18,2.0,0.42,6.55,5.0,3.35,0.03,0.26,65.27,3.77,30.09,2.5,1.91,0.0,3.09,2.75,1.33
1473,0.0,0,0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.52,5.2,-1.0,-1.0,0.0,0.0,0.0,0.17,0.0
1764,3,0,0,12,12,2,0.0,23.67,197.0,1.0,0.5,3.33,1.11,1.11,-1.0,0.0,17.72,3.76,-1.0,-1.0,1.67,0.0,0.0,0.67,0.12
1967,0.0,0,0,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.04
1968,0.0,0,2,5,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,14.11,3.27,-1.0,-1.0,0.0,0.0,0.0,0.17,0.16
1969,21,2,9,24,24,17,3.33,233.33,1339.33,7.0,0.17,29.0,0.0,0.0,-1.0,0.67,0.0,0.0,211.0,84.33,0.0,0.0,4.0,0.58,0.85
1996,30,13,45,94,94,25,10.0,32.91,543.36,2.5,0.65,8.36,5.0,5.0,0.03,0.13,74.8,3.94,8.55,0.0,1.91,0.0,2.91,2.92,6.11
2001,42,0,43,77,77,15,0.0,67.0,453.12,4.67,0.24,7.33,3.89,3.89,0.04,0.64,51.56,5.07,71.11,46.38,2.0,0.0,3.56,2.08,5.18
2002,24,9,26,86,86,23,10.0,67.36,616.45,1.36,0.82,5.64,5.0,5.0,0.01,0.38,74.1,5.15,19.18,1.36,2.09,0.0,2.5,3.0,9.85
2003,19,5,33,94,94,22,10.0,33.18,491.82,1.27,0.86,1.5,5.0,4.0,0.01,0.21,42.99,3.21,2.36,0.0,2.0,0.0,3.25,3.0,5.61
2004,12,0,7,57,57,30,0.0,19.88,258.75,0.86,0.65,2.86,3.33,2.86,-1.0,0.5,50.59,2.47,11.14,0.0,1.86,0.0,3.38,1.83,0.35
2028,5,0,4,10,10,12,0.0,109.5,565.0,2.5,0.1,1.0,0.56,0.28,-1.0,0.4,14.82,0.0,-1.0,12.5,0.0,0.0,3.0,0.42,0.04
2029,134,0,30,106,106,17,10.0,69.82,639.33,7.73,0.35,5.64,3.89,3.89,0.13,0.52,187.78,2.04,40.27,51.91,2.0,0.0,4.33,3.0,2.9
2041,0.0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.81
2085,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1148,11,21,26,53,53,24,0.0,17.67,262.5,1.17,0.82,1.33,3.89,3.89,0.59,0.27,39.45,3.09,-1.0,-1.0,2.71,0.0,3.29,1.75,0.52
1231,310,0,9,101,101,17,10.0,50.58,381.82,4.36,0.55,2.27,5.0,5.0,0.09,0.11,51.85,3.87,9.45,12.27,1.91,0.0,2.91,2.92,3.83
1308,7,0,2,12,12,2,0.0,7.67,153.67,2.33,0.19,1.0,1.11,1.11,0.02,0.43,5.94,2.85,11.33,16.33,1.33,0.0,1.33,0.67,0.02
1575,42,0,10,51,51,14,10.0,25.86,348.29,3.43,0.37,7.86,1.67,1.67,0.0,0.5,27.64,2.74,32.71,9.29,0.0,0.0,3.62,1.75,1.36
1766,0.0,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1947,119,71,8,112,112,39,10.0,87.18,769.91,6.27,0.36,4.73,5.0,5.0,0.73,0.38,56.89,5.72,46.0,85.82,2.09,0.0,3.18,3.0,10.0
1948,30,99,38,115,115,26,3.33,118.55,923.09,2.5,0.55,3.36,5.0,5.0,0.61,0.23,162.73,3.46,17.55,6.36,2.0,0.0,3.64,2.83,2.27
1949,56,32,37,84,84,37,0.0,48.92,531.75,3.0,0.4,10.42,5.0,5.0,0.53,0.55,117.62,1.96,31.09,12.73,2.36,0.0,2.73,2.75,0.17
1950,35,0,19,69,69,30,0.0,68.83,556.5,2.18,0.35,6.75,3.89,3.11,0.09,0.77,64.3,3.39,95.25,42.27,2.0,0.0,2.91,2.0,1.5
1951,8,0,4,31,31,14,0.0,21.25,305.25,2.0,0.69,0.75,2.22,2.22,-1.0,0.5,16.83,2.42,11.75,31.0,0.0,0.0,2.25,1.0,0.09
1952,58,36,35,106,106,63,6.67,46.0,585.36,3.0,0.68,11.0,5.0,5.0,0.47,0.16,119.87,3.72,35.09,0.0,2.82,0.0,3.75,2.83,8.47
1953,0.0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.05
1954,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.04
1956,10,12,11,42,42,32,0.0,30.4,384.4,2.0,0.6,13.0,1.67,1.67,0.34,0.3,52.42,2.25,58.8,0.0,2.0,0.0,4.4,1.08,0.51
