Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1305,60,0,9,123,124,15,10.0,18.39,218.96,1.88,0.73,2.04,5.63,1.86,1.01,0.47,72.55,2.32,14.42,16.25,0.0,0.0,2.35,2.59,7.53
1323,25,0,29,97,97,16,0.0,17.71,176.75,1.0,0.69,4.19,5.5,2.36,0.12,0.2,84.32,2.6,13.9,3.1,0.0,0.0,2.32,2.07,0.17
1325,15,0,29,74,74,2,0.0,14.4,141.5,1.22,0.89,1.0,3.33,0.83,0.14,0.2,24.36,3.35,1.22,4.5,0.0,0.0,4.2,1.0,0.1
1330,103,0,13,135,135,25,10.0,17.52,264.91,2.5,0.73,4.83,6.67,5.87,0.66,0.5,133.82,2.51,23.91,20.7,0.0,0.0,3.25,2.52,2.81
1331,42,3,8,115,115,46,10.0,25.38,250.86,1.5,0.83,6.96,5.63,5.63,0.37,0.36,204.96,2.42,10.35,9.22,0.0,0.0,2.46,2.55,2.9
1338,91,0,48,142,142,18,10.0,55.33,386.25,2.09,0.64,8.42,6.67,4.47,0.04,0.4,131.93,4.19,31.92,5.74,0.0,0.0,3.6,2.52,2.58
1345,19,0,0,27,27,3,0.0,5.73,56.82,1.0,1.0,1.45,3.33,1.43,1.22,0.05,17.4,3.16,0.0,-1.0,0.0,0.0,0.27,1.1,0.1
1346,48,0,6,118,118,16,10.0,16.58,218.54,1.43,0.8,1.32,6.67,4.67,0.24,0.08,106.27,2.46,1.33,0.0,0.0,0.12,2.48,2.48,2.63
1350,12,0,0,33,33,1,0.0,4.1,74.5,1.09,0.68,0.78,2.14,0.62,0.35,0.08,17.17,2.16,0.0,0.0,0.0,0.0,1.09,1.03,0.06
1356,27,0,38,100,100,13,0.0,26.32,224.77,1.17,0.61,2.52,5.22,2.98,0.2,0.22,133.29,1.97,5.24,1.1,0.0,0.0,2.14,2.07,0.18
1437,21,0,2,23,23,0,0.0,2.73,49.55,1.36,0.89,0.1,3.33,0.37,0.57,0.0,16.42,3.18,-1.0,-1.0,0.0,0.0,0.0,1.21,0.11
1448,60,150,33,143,143,28,3.33,64.17,756.3,1.25,0.8,3.83,6.67,6.27,0.01,0.38,552.23,1.52,12.04,0.62,0.0,0.25,1.74,2.52,0.71
