Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1173,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.38
1305,0.0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1310,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1688,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2101,35,14,36,128,128,39,10.0,49.23,332.46,2.0,0.6,8.0,3.06,1.53,0.35,0.54,84.39,3.29,43.0,13.08,0.23,0.0,4.36,1.73,10.0
2102,103,14,35,132,132,91,0.0,79.69,511.08,4.77,0.44,2.77,3.33,1.67,0.01,0.27,100.54,3.43,29.69,32.0,0.15,0.0,4.14,1.77,8.01
2103,9,4,12,89,89,32,5.0,22.78,120.44,1.0,1.0,0.0,2.22,0.27,0.0,0.0,2.18,0.0,0.0,-1.0,0.0,0.0,4.2,1.23,7.84
2104,27,11,15,215,215,145,10.0,19.53,148.74,1.2,0.9,5.25,5.83,2.57,0.02,0.11,106.33,2.76,5.5,3.25,0.45,0.0,4.35,2.86,9.22
2105,36,14,16,191,191,47,0.0,11.83,222.44,1.37,0.68,4.58,5.69,0.57,0.0,0.33,64.29,2.01,23.68,6.58,0.37,1.0,4.05,2.59,2.03
2107,10,4,11,86,86,28,0.0,19.7,129.1,0.8,0.73,0.1,2.22,0.49,0.0,0.2,4.09,0.0,0.0,0.0,0.0,1.0,4.0,1.27,6.85
2108,29,15,15,128,128,46,0.0,49.64,339.0,1.73,0.64,4.64,2.78,2.78,0.15,0.34,63.5,2.46,35.82,7.64,0.09,1.18,4.33,1.41,1.67
2109,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2110,29,7,37,221,221,57,10.0,33.95,285.65,1.21,0.84,2.74,6.39,1.73,0.02,0.1,119.05,4.04,5.11,2.75,0.5,1.0,4.0,2.82,7.46
2111,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.2
2112,21,4,18,100,100,41,5.0,27.09,268.27,1.45,0.69,0.27,2.5,2.5,0.01,0.29,28.91,2.8,2.6,13.27,0.0,1.0,3.92,1.59,7.6
2113,35,14,43,147,147,69,5.0,21.54,285.46,2.5,0.62,1.5,3.33,1.67,0.0,0.23,93.62,2.68,10.0,6.62,0.23,0.0,4.57,1.86,2.42
2114,19,14,14,106,106,42,5.0,38.15,411.38,1.46,0.56,4.25,2.78,1.86,0.01,0.11,63.09,3.43,7.17,0.0,0.08,1.0,3.62,1.68,7.63
2115,52,14,32,127,127,41,5.0,61.77,371.92,1.62,0.61,5.23,3.06,2.05,0.0,0.63,58.4,2.95,23.69,10.38,0.23,1.0,3.93,1.82,2.35
2116,41,1,4,112,112,43,0.0,42.09,396.58,3.42,0.49,6.25,2.78,0.0,0.02,0.68,60.66,3.02,77.67,68.67,0.0,1.18,3.83,1.36,1.35
2117,40,14,36,241,241,81,10.0,45.9,389.76,1.52,0.83,9.1,6.67,6.67,0.05,0.07,287.77,1.67,11.19,1.43,0.38,0.0,4.52,3.0,8.98
2118,69,14,39,136,136,49,5.0,32.0,347.36,3.69,0.48,5.77,3.33,2.5,-1.0,0.51,72.02,2.96,47.23,37.23,0.23,0.0,4.14,1.86,8.05
2119,0.0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.4
2120,14,13,9,100,100,82,10.0,30.5,329.27,1.27,0.85,4.1,2.22,1.73,-1.0,0.07,31.12,3.4,11.0,0.0,0.1,0.0,3.82,1.45,7.48
2121,77,14,9,212,212,78,5.0,21.37,288.15,3.15,0.61,3.95,5.69,0.0,0.07,0.38,103.48,3.9,25.63,21.1,0.5,0.0,4.35,2.77,7.92
2122,19,4,21,137,137,83,10.0,90.15,641.15,1.23,0.88,10.31,3.33,0.0,0.02,0.16,129.9,2.79,43.0,2.31,0.23,0.0,4.21,1.77,9.48
2123,19,14,23,132,132,89,5.0,23.15,206.69,1.15,0.9,3.15,3.33,1.67,0.02,0.11,62.94,2.32,3.46,-1.0,0.23,0.0,3.93,1.86,8.19
2124,31,14,31,134,134,74,10.0,106.46,780.64,1.33,0.73,17.36,3.33,0.0,0.06,0.42,254.43,2.44,54.85,18.62,0.23,0.0,4.23,1.86,6.85
2125,32,7,10,107,107,160,5.0,58.15,421.46,1.92,0.56,9.54,3.19,2.14,0.03,0.34,112.32,2.74,36.92,1.92,0.15,1.0,3.85,1.77,3.83
2126,49,9,20,215,215,118,5.0,51.9,527.52,1.75,0.7,14.65,6.25,5.0,0.13,0.12,208.2,3.82,48.21,6.5,0.45,0.0,4.3,2.59,6.47
2127,25,15,11,136,136,54,10.0,30.54,200.33,1.58,0.67,2.75,2.78,1.25,-1.0,0.2,45.25,2.17,6.08,2.08,0.08,1.17,4.31,1.59,7.91
2128,26,13,10,89,89,28,0.0,20.33,214.5,2.5,0.48,0.12,2.5,2.5,-1.0,0.35,41.06,1.62,2.62,24.44,0.0,0.0,4.44,1.23,0.49
2129,29,4,9,102,102,101,10.0,42.75,504.92,1.83,0.57,11.92,2.78,2.78,0.08,0.14,113.68,3.71,69.42,7.0,0.0,1.0,3.75,1.64,9.13
2130,36,4,30,109,109,135,5.0,61.45,493.33,2.36,0.68,4.45,2.78,2.47,0.0,0.31,87.2,2.35,15.18,24.58,0.09,0.0,3.92,1.55,2.34
2131,49,6,31,198,198,59,5.0,41.95,323.26,1.95,0.69,5.83,5.97,1.31,0.0,0.18,125.4,4.29,11.42,0.0,0.53,1.0,4.1,2.59,4.68
2132,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.03
2133,4,7,4,15,15,33,0.0,47.67,331.0,1.33,0.44,9.67,0.61,0.61,-1.0,0.5,30.37,2.17,107.67,20.0,1.0,0.67,1.67,0.36,0.13
2134,67,14,47,201,201,120,10.0,54.47,543.11,2.84,0.54,20.61,5.42,5.42,0.08,0.34,223.41,2.54,79.16,5.06,0.32,0.0,4.05,2.68,9.69
2338,36,14,28,117,117,28,5.0,37.92,338.46,1.42,0.52,2.5,2.78,2.08,0.01,0.53,88.67,2.21,30.31,16.92,0.15,1.0,3.77,1.77,2.63
2340,4,13,13,53,53,45,0.0,34.6,329.2,0.67,0.25,3.2,0.56,0.56,0.0,0.25,30.3,2.87,34.83,0.0,1.17,1.0,3.83,0.64,1.64
2341,62,1,33,141,141,36,5.0,36.46,329.14,3.38,0.48,5.64,3.33,0.0,0.04,0.5,63.81,2.46,41.0,33.38,0.43,0.0,4.23,1.86,1.49
2342,4,0,8,19,19,23,5.0,87.5,788.0,2.0,0.17,17.5,0.0,0.0,0.06,0.75,0.0,0.0,183.0,31.5,0.5,0.0,4.0,0.23,2.88
2343,0.0,0,0,0,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.14
2344,1,7,4,8,8,31,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,-1.0,0.0,0.71,1.61,-1.0,-1.0,0.0,0.0,0.0,0.14,0.59
2345,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.13
2346,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2367,23,15,16,98,98,60,5.0,32.9,292.6,2.3,0.59,0.11,1.94,1.2,0.01,0.43,20.59,2.56,5.78,12.78,0.0,0.0,4.8,1.18,7.08
2403,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2477,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
