Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1173,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.38
1305,0.0,0,0,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1310,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1688,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2101,22,48,66,186,188,63,10.0,124.17,931.0,1.2,0.81,9.27,3.33,3.33,0.43,0.14,142.53,4.66,8.09,0.0,2.0,1.0,3.64,2.33,10.0
2102,12,18,35,132,137,147,10.0,31.67,281.89,1.0,1.0,4.2,2.67,1.79,0.0,0.0,26.57,4.32,10.78,-1.0,2.11,0.9,3.5,1.93,8.01
2103,45,0,9,26,26,47,10.0,129.0,1282.5,22.5,0.05,12.5,0.0,0.0,0.04,0.89,0.0,0.0,343.0,503.5,2.0,1.0,3.5,0.4,7.84
2104,18,29,26,126,123,211,10.0,5.89,64.89,1.44,0.8,1.0,2.67,0.0,14.89,0.22,0.99,0.0,5.89,1.67,1.78,1.3,3.5,1.87,9.22
2105,9,0,1,13,13,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.13,2.03
2107,20,0,5,12,12,47,10.0,77.0,794.0,10.0,0.12,13.5,0.0,0.0,0.1,0.85,0.0,0.0,241.0,193.0,2.0,1.0,3.5,0.27,6.85
2108,0.0,0,0,1,1,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.13,1.67
2109,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2110,11,5,9,110,118,78,5.0,15.0,216.57,1.0,0.72,0.86,2.0,1.34,0.09,0.09,26.56,4.74,1.86,0.0,1.71,0.88,3.71,1.53,7.46
2111,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.2
2112,9,0,8,26,26,61,10.0,132.0,1132.5,4.5,0.32,12.5,0.0,0.0,-1.0,0.67,0.0,0.0,123.0,64.0,2.0,1.0,3.5,0.4,7.6
2113,0.0,0,0,0,0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.42
2114,37,23,42,172,175,68,10.0,44.33,321.09,2.64,0.57,1.91,3.33,2.23,0.02,0.54,28.04,3.39,26.82,21.55,2.09,1.0,3.55,2.4,7.63
2115,0.0,0,0,0,0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.35
2116,0.0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.35
2117,51,34,46,231,239,127,10.0,52.86,432.79,2.14,0.71,2.71,6.33,6.33,0.13,0.2,209.79,1.61,6.08,3.08,2.29,1.2,4.43,2.93,8.98
2118,27,23,40,133,139,82,10.0,38.78,352.5,1.89,0.69,4.0,2.67,2.67,0.45,0.26,23.67,3.98,20.78,0.0,2.11,0.9,3.5,2.0,8.05
2119,0.0,0,0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.4
2120,10,29,29,117,114,121,5.0,0.44,13.78,1.0,0.94,0.89,2.67,0.0,24.13,0.0,0.99,0.0,0.0,-1.0,1.78,1.1,3.0,1.93,7.48
2121,30,17,28,136,142,118,10.0,5.44,77.11,1.22,0.93,1.11,2.67,0.0,16.23,0.33,0.61,0.0,11.89,2.78,2.22,0.9,3.6,1.8,7.92
2122,36,17,35,181,194,129,10.0,25.55,64.4,2.09,0.78,0.91,3.33,0.0,4.26,0.58,12.35,0.0,16.55,27.27,2.55,0.92,3.82,2.2,9.48
2123,32,23,35,173,176,127,10.0,0.3,13.3,1.45,0.88,0.73,3.33,0.0,13.83,0.5,2.81,0.0,3.82,3.64,2.09,1.08,3.55,2.4,8.19
2124,57,28,114,177,181,108,5.0,110.33,591.0,3.45,0.43,5.82,3.33,3.33,0.12,0.53,147.59,2.18,49.27,36.64,2.55,1.08,3.45,2.2,6.85
2125,19,29,25,114,111,229,0.0,3.5,42.0,1.5,0.9,0.5,2.67,0.88,0.01,0.16,6.6,0.0,1.0,0.0,1.88,1.22,3.12,1.67,3.83
2126,10,29,39,121,118,158,10.0,61.8,356.44,1.0,0.7,3.56,2.0,2.0,0.24,0.0,46.65,3.94,5.56,-1.0,1.67,1.2,2.89,1.87,6.47
2127,20,23,34,137,140,85,10.0,5.5,79.7,1.2,0.93,1.9,2.67,0.0,15.21,0.1,1.28,0.0,3.7,0.0,1.4,1.0,3.64,2.2,7.91
2128,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.49
2129,10,19,26,123,121,135,10.0,26.3,264.8,0.0,0.0,4.6,2.67,2.67,0.2,0.0,45.17,4.02,7.89,0.0,1.56,1.0,3.11,2.0,9.13
2130,0.0,5,6,16,15,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,3.46,0.0,-1.0,-1.0,0.0,0.0,0.0,0.13,2.34
2131,8,23,27,107,104,91,0.0,3.44,35.33,1.0,1.0,0.33,2.67,1.79,16.78,0.0,7.7,4.46,0.0,-1.0,1.11,0.8,2.78,1.87,4.68
2132,0.0,0,0,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.03
2133,0.0,0,0,0,0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2134,131,29,112,210,219,210,10.0,43.93,554.43,5.64,0.16,10.57,4.44,1.47,0.34,0.59,118.98,2.52,83.64,41.21,2.07,1.13,3.79,2.8,9.69
2338,6,0,1,15,15,42,0.0,107.5,494.0,3.0,0.0,7.5,0.0,0.0,0.07,0.5,0.0,0.0,88.0,37.5,0.5,1.0,3.0,0.27,2.63
2340,0.0,0,0,0,0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.64
2341,0.0,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.49
2342,0.0,5,6,16,15,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.75,0.0,-1.0,-1.0,0.0,0.0,0.0,0.13,2.88
2343,0.0,0,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.14
2344,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.59
2345,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.13
2346,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2367,13,5,7,45,44,86,10.0,22.33,169.33,4.33,0.1,6.0,0.0,0.0,-1.0,0.54,0.22,0.0,60.0,51.33,2.33,1.33,4.0,0.53,7.08
2403,0.0,0,0,0,0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2477,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2478,10,5,9,100,98,95,10.0,87.0,1065.0,1.25,0.44,5.57,1.0,1.0,0.06,0.3,94.06,3.94,17.57,0.14,1.75,1.62,2.71,1.4,8.82
2479,10,17,38,179,185,107,5.0,1.0,55.11,1.0,0.94,0.22,2.67,0.0,8.13,0.0,6.22,0.0,-1.0,-1.0,2.0,0.7,3.44,1.8,5.87
2506,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2546,0.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
2552,0.0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.77
2578,0.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
