Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1173,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.38
1305,0.0,0,0,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1310,7,0,1,58,58,3,0.0,74.4,574.0,1.4,0.8,7.4,0.0,0.0,0.19,0.14,35.79,2.75,26.0,0.0,2.2,1.0,3.4,0.82,0.0
1688,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2101,12,8,25,112,112,53,0.0,34.11,205.2,1.0,1.0,0.67,3.33,2.66,-1.0,0.17,21.37,2.29,1.44,-1.0,1.11,1.33,3.0,1.53,10.0
2102,29,10,34,136,136,117,0.0,114.73,567.91,2.0,0.51,9.27,3.33,3.0,0.0,0.38,48.06,3.54,76.91,0.0,1.92,1.27,3.0,2.0,8.01
2103,15,9,13,148,148,41,5.0,1.55,32.64,0.91,0.93,0.18,3.33,0.33,-1.0,0.2,2.62,1.96,0.0,0.0,1.36,1.45,3.55,1.76,7.84
2104,16,15,31,165,165,188,5.0,20.67,75.4,1.0,0.97,0.07,6.0,0.42,0.0,0.06,2.18,0.0,0.0,0.0,1.4,1.13,3.2,2.59,9.22
2105,19,8,9,38,38,59,0.0,83.0,716.33,6.33,0.0,11.33,0.0,0.0,0.25,1.0,10.65,2.26,197.67,152.67,3.33,1.33,3.33,0.35,2.03
2107,21,11,11,153,153,39,0.0,11.17,99.36,1.45,0.67,0.09,3.33,0.33,0.0,0.48,8.18,2.53,3.55,10.91,1.45,1.33,3.91,2.0,6.85
2108,17,12,28,137,137,56,0.0,2.82,30.55,1.0,0.75,0.18,3.0,0.3,0.01,0.41,1.23,0.0,5.91,3.18,1.36,1.27,3.75,1.65,1.67
2109,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2110,39,8,28,135,135,71,5.0,32.18,391.92,2.55,0.56,1.82,3.33,3.33,0.05,0.59,46.73,4.43,33.58,30.91,1.45,1.45,3.27,2.0,7.46
2111,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.2
2112,24,8,13,148,148,54,5.0,23.3,227.09,1.18,0.74,0.36,3.33,1.33,0.0,0.5,18.71,2.88,4.73,7.27,1.27,1.45,3.64,2.06,7.6
2113,15,8,28,137,137,91,5.0,6.64,133.92,0.9,0.88,0.18,3.33,1.0,0.0,0.27,16.51,2.63,2.36,0.0,1.75,1.18,3.18,2.06,2.42
2114,32,8,40,168,168,49,5.0,0.0,9.29,1.13,0.96,0.93,6.0,0.0,0.0,0.53,1.06,0.0,10.67,5.67,1.4,1.4,2.87,2.65,7.63
2115,22,0,38,99,99,60,0.0,48.91,408.82,1.18,0.68,1.82,3.33,2.23,0.02,0.36,45.01,3.65,8.55,6.27,0.75,1.09,2.36,1.76,2.35
2116,12,10,30,132,132,51,0.0,0.5,10.5,1.0,0.95,0.0,3.33,0.0,0.0,0.17,0.68,0.0,0.0,1.5,2.0,1.3,3.3,1.88,1.35
2117,37,8,19,214,214,116,5.0,57.06,495.75,1.81,0.76,2.8,6.67,5.87,0.04,0.38,217.65,1.68,15.73,10.75,1.88,1.25,3.62,2.88,8.98
2118,21,8,61,152,152,67,5.0,50.0,445.0,1.55,0.59,4.0,3.33,0.0,0.0,0.33,57.98,2.94,22.45,5.45,2.33,1.36,3.09,2.06,8.05
2119,0.0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.4
2120,13,12,43,136,136,108,5.0,15.91,107.73,0.91,0.94,2.27,3.33,1.67,0.0,0.15,17.44,3.73,7.36,0.0,1.45,1.36,2.82,2.0,7.48
2121,33,8,24,146,146,104,5.0,33.36,162.91,2.36,0.61,0.09,3.33,1.67,0.0,0.52,12.27,0.0,14.18,18.73,2.25,1.45,3.0,1.76,7.92
2122,12,10,31,130,130,112,0.0,25.83,176.08,0.83,0.95,2.75,4.0,1.08,0.0,0.08,34.57,2.69,24.75,0.0,1.08,1.25,3.69,2.0,9.48
2123,24,8,29,161,161,112,5.0,7.07,43.8,1.13,0.87,1.8,6.0,1.5,0.0,0.08,13.29,5.18,0.0,0.0,1.33,1.19,2.73,2.71,8.19
2124,31,14,71,173,173,94,5.0,82.5,682.29,1.5,0.65,5.0,6.0,6.0,0.03,0.16,235.82,2.63,31.94,7.44,1.5,1.18,2.81,2.88,6.85
2125,12,12,26,148,148,198,0.0,18.73,114.73,1.0,0.95,0.36,3.33,1.0,0.02,0.17,8.98,2.44,1.0,1.36,2.25,1.36,3.18,2.0,3.83
2126,24,12,43,174,174,144,5.0,47.07,342.6,1.07,0.86,2.4,6.0,5.46,0.0,0.21,43.4,3.29,10.47,5.33,1.53,1.07,3.2,2.76,6.47
2127,15,8,30,184,184,66,0.0,8.56,12.2,1.0,1.0,1.38,6.67,0.47,-1.0,0.0,4.8,0.0,0.0,0.0,1.44,1.24,3.19,2.88,7.91
2128,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.49
2129,40,0,32,214,214,115,0.0,46.19,303.06,1.47,0.69,6.25,6.67,5.34,0.33,0.4,62.08,3.81,47.38,13.62,1.75,1.31,3.62,2.94,9.13
2130,20,12,32,134,134,151,0.0,3.55,68.91,1.09,0.7,0.64,3.33,0.67,0.0,0.5,12.73,2.0,12.09,9.55,1.45,1.18,3.18,2.0,2.34
2131,28,8,25,117,117,77,5.0,37.91,309.64,1.73,0.63,5.82,3.33,1.67,0.0,0.32,49.24,5.32,18.0,4.55,0.91,1.25,2.64,2.06,4.68
2132,55,8,9,93,93,40,0.0,21.6,353.67,5.5,0.33,0.2,2.67,2.67,0.05,0.82,60.27,4.25,47.2,100.5,0.9,1.56,3.6,1.65,2.03
2133,0.0,0,0,0,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2134,30,14,74,185,185,170,5.0,64.94,580.25,1.56,0.62,15.75,6.0,6.0,0.13,0.17,169.6,2.48,78.88,1.56,1.56,1.18,3.31,2.88,9.69
2338,11,0,85,61,61,36,5.0,55.4,379.6,2.2,0.7,5.2,1.0,0.5,0.01,0.36,1.25,3.27,25.2,13.0,2.2,1.6,2.6,0.82,2.63
2340,1,8,13,41,41,56,0.0,46.75,578.75,0.25,0.0,5.75,0.0,0.0,0.11,0.0,35.85,2.33,51.25,6.25,2.25,0.75,4.0,0.47,1.64
2341,4,2,6,34,34,49,0.0,44.4,285.6,0.8,0.3,14.2,0.67,0.67,0.18,0.25,37.79,3.48,18.0,0.0,0.6,1.2,2.2,0.71,1.49
2342,0.0,0,387,8,8,25,0.0,36.5,972.5,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,6.5,-1.0,0.0,0.0,2.0,0.24,2.88
2343,0.0,0,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.14
2344,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.59
2345,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.13
2346,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2367,26,11,12,160,160,78,10.0,0.45,17.0,1.18,0.91,0.09,3.33,0.0,-1.0,0.23,1.46,0.0,0.0,0.0,2.17,1.42,3.64,2.0,7.08
2403,4,0,10,27,27,60,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.47,0.0,-1.0,-1.0,0.25,0.0,2.75,0.71,0.0
2477,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2478,30,10,12,141,141,78,0.0,68.67,491.08,1.58,0.51,2.83,3.33,3.33,0.01,0.63,54.22,4.31,35.25,12.08,2.15,1.25,2.58,2.06,8.82
2479,0.0,2,4,11,11,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,10.1,7.23,-1.0,-1.0,0.0,0.0,0.0,0.12,5.87
2506,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2546,0.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.01
2552,0.0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.77
2578,0.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2634,10,8,25,108,108,51,0.0,0.0,7.67,0.0,0.0,0.0,3.33,0.33,-1.0,0.0,1.74,0.0,-1.0,-1.0,1.11,1.56,2.89,1.47,0.22
