Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1173,7,9,12,30,30,11,5.0,112.4,977.0,1.4,0.65,20.6,1.11,1.11,0.0,0.29,30.43,3.28,193.4,0.0,2.2,0.0,3.2,0.76,0.38
1305,0.0,0,0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1310,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1688,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2101,33,27,56,140,140,20,10.0,39.6,347.67,2.06,0.55,2.67,4.44,2.22,1.1,0.36,78.86,3.04,21.0,9.71,2.6,0.0,4.69,2.59,10.0
2102,105,27,33,162,162,56,10.0,83.73,708.06,5.38,0.35,14.0,5.56,4.45,0.01,0.44,154.8,4.16,57.67,37.38,2.53,0.0,4.82,2.76,8.01
2103,32,10,23,97,97,18,10.0,66.1,699.27,2.91,0.66,5.0,2.96,2.96,0.21,0.47,67.14,4.36,25.0,20.8,2.0,0.0,4.27,1.88,7.84
2104,100,28,24,164,164,58,10.0,135.0,793.2,4.75,0.45,11.8,6.67,3.33,0.33,0.42,250.85,2.46,93.75,41.25,2.56,0.0,4.94,2.94,9.22
2105,10,26,9,77,77,27,5.0,31.67,421.11,1.0,0.7,3.33,2.59,1.29,0.0,0.1,34.71,2.42,9.56,0.0,2.78,0.0,3.7,1.65,2.03
2107,19,8,18,51,51,19,10.0,24.6,414.17,3.17,0.46,8.83,1.11,0.0,0.03,0.47,16.32,2.24,27.2,3.0,2.33,0.0,4.33,1.0,6.85
2108,97,6,26,141,141,23,5.0,73.36,555.36,4.86,0.28,4.21,4.44,0.0,0.03,0.38,155.61,2.61,51.57,49.43,0.0,0.0,4.8,2.47,1.67
2109,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2110,16,18,10,59,59,30,10.0,21.44,324.78,1.0,0.44,2.75,1.48,1.27,0.0,0.5,24.97,4.11,8.12,0.0,2.75,0.0,3.12,1.35,7.46
2111,9,0,2,19,19,32,0.0,160.62,575.12,1.12,0.0,7.0,0.37,0.0,0.02,0.78,55.12,3.92,10.14,3.57,0.5,0.0,1.38,1.0,0.2
2112,37,3,32,106,106,24,5.0,84.9,613.0,1.8,0.62,5.0,3.33,0.0,0.11,0.16,75.21,2.99,19.7,4.0,2.0,0.0,5.18,1.88,7.6
2113,81,28,66,95,95,32,0.0,59.44,575.11,5.22,0.22,7.89,3.33,0.0,0.03,0.77,108.08,3.07,71.0,72.89,3.0,0.0,4.8,1.71,2.42
2114,55,27,40,155,155,25,10.0,60.06,657.75,2.31,0.58,4.81,6.67,6.67,0.04,0.27,123.18,3.36,20.62,5.0,2.59,0.0,3.75,3.0,7.63
2115,28,27,40,97,98,23,5.0,140.18,805.45,2.0,0.44,9.1,2.96,0.0,0.01,0.14,81.77,3.17,57.64,-1.0,2.8,0.0,5.0,1.76,2.35
2116,64,18,12,76,76,20,0.0,34.78,375.67,5.33,0.1,5.22,2.78,1.39,0.06,0.45,57.45,2.49,68.56,61.56,2.67,0.0,4.5,1.47,1.35
2117,30,27,64,179,179,35,10.0,26.27,470.88,1.44,0.84,5.62,6.67,5.0,0.05,0.3,182.54,1.69,15.19,2.25,2.56,0.0,5.31,3.0,8.98
