Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1173,0.0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.38
1305,0.0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1310,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1688,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2101,17,20,37,164,159,48,10.0,29.5,296.33,1.17,0.92,1.83,3.33,1.1,0.09,0.18,59.33,2.21,11.58,1.25,1.62,0.5,4.08,2.11,10.0
2102,33,1,38,146,141,98,10.0,109.33,744.42,1.33,0.9,7.08,3.33,3.33,0.02,0.3,150.56,3.69,45.17,4.25,1.08,0.33,4.0,2.11,8.01
2103,16,4,24,144,139,38,5.0,4.92,11.27,0.91,0.89,0.58,3.33,0.3,-1.0,0.19,0.57,0.0,0.0,0.0,1.08,0.33,3.77,1.56,7.84
2104,14,4,16,141,136,172,5.0,9.92,94.75,0.92,0.94,1.08,3.33,0.9,-1.0,0.14,18.59,3.06,2.0,0.0,0.92,0.42,3.77,2.11,9.22
2105,17,0,18,73,73,56,5.0,9.67,254.1,1.22,0.35,2.56,1.88,1.07,0.03,0.24,29.1,2.28,10.7,1.67,0.11,0.0,3.1,1.44,2.03
2107,24,4,13,161,156,36,0.0,11.55,42.55,1.36,0.87,0.09,3.33,0.6,-1.0,0.5,7.33,0.0,5.91,8.55,1.18,0.36,4.08,1.78,6.85
2108,22,0,7,51,51,52,5.0,15.33,212.67,3.14,0.5,0.0,1.88,1.88,0.0,0.45,17.01,2.26,7.83,11.67,0.17,0.29,2.57,1.06,1.67
2109,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2110,34,3,12,210,206,67,10.0,16.06,177.41,1.65,0.8,2.35,6.67,1.33,0.01,0.29,96.41,4.12,14.76,5.31,1.41,0.65,3.41,2.89,7.46
2111,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.2
2112,16,1,29,167,162,49,10.0,4.67,53.5,1.0,1.0,0.25,3.33,0.6,0.0,0.12,6.02,2.89,0.0,-1.0,1.08,0.33,4.08,2.0,7.6
2113,44,4,25,141,136,84,3.35,12.36,194.45,2.45,0.72,0.55,3.33,0.67,0.0,0.7,73.46,2.34,26.64,35.73,1.18,0.36,3.92,1.89,2.42
2114,11,5,17,131,126,44,0.0,0.0,8.55,0.0,0.0,0.0,3.33,0.0,-1.0,0.0,0.46,0.0,-1.0,-1.0,0.9,0.5,4.18,1.56,7.63
2115,27,1,30,149,144,50,5.0,81.15,522.46,1.42,0.69,3.92,3.33,1.9,0.0,0.52,56.06,3.32,34.0,9.58,1.08,0.42,4.0,2.06,2.35
2116,7,0,20,110,110,48,5.0,0.0,8.33,0.0,0.0,0.0,1.82,0.0,-1.0,0.0,0.4,0.0,-1.0,-1.0,1.33,0.71,2.83,1.17,1.35
2117,41,4,22,156,151,102,10.0,49.46,533.31,2.58,0.62,9.0,3.33,3.33,0.05,0.05,228.8,1.66,16.0,1.25,1.33,0.42,3.92,2.17,8.98
2118,37,1,47,146,141,61,10.0,105.17,778.33,2.42,0.62,10.25,3.33,3.33,0.02,0.41,167.59,3.19,66.67,20.83,1.08,0.33,4.0,2.06,8.05
2119,0.0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.4
2120,14,1,35,140,135,95,0.0,34.0,303.83,0.83,0.93,3.25,3.33,0.0,0.05,0.0,71.84,3.25,12.67,-1.0,0.92,0.33,3.85,2.06,7.48
2121,27,4,6,142,137,92,5.0,21.0,234.83,2.08,0.57,1.17,3.33,2.0,0.03,0.44,64.65,2.12,14.75,16.58,0.92,0.42,3.92,2.11,7.92
2122,14,1,35,158,153,102,10.0,23.92,202.75,1.0,1.0,2.77,3.33,1.47,0.01,0.07,17.38,2.31,13.23,0.0,1.62,0.42,4.31,2.11,9.48
2123,9,4,6,84,81,97,10.0,2.33,52.83,1.29,0.69,2.0,1.21,0.0,0.0,0.22,2.85,0.0,4.0,0.0,2.0,0.29,4.29,1.11,8.19
2124,24,4,32,166,161,80,5.0,47.31,460.08,1.31,0.69,5.29,3.33,2.0,0.03,0.33,191.4,2.43,36.07,8.92,0.85,0.38,3.64,2.22,6.85
2125,32,3,2,96,96,178,5.0,36.8,278.6,1.8,0.03,1.8,0.61,0.0,0.03,0.81,42.0,2.67,30.3,12.3,0.4,0.0,1.2,1.39,3.83
2126,17,4,35,146,141,132,5.0,40.42,485.25,0.92,1.0,5.38,3.33,2.23,0.04,0.0,85.02,3.49,19.17,-1.0,0.92,0.42,3.92,2.11,6.47
2127,11,3,28,136,131,59,0.0,0.09,12.09,1.0,1.0,1.18,3.33,0.0,-1.0,0.0,1.04,0.0,0.0,-1.0,1.0,0.36,3.92,1.94,7.91
2128,0.0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.49
2129,0.0,0,0,0,0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.13
2130,6,3,13,27,27,147,0.0,59.75,467.0,1.5,0.3,6.25,0.61,0.61,0.17,0.0,35.99,2.9,19.25,-1.0,0.0,0.25,3.5,0.56,2.34
2131,8,9,24,59,59,67,10.0,61.12,526.62,0.5,0.47,9.11,0.91,0.78,0.0,0.0,33.52,4.79,58.78,-1.0,0.25,0.22,2.0,1.28,4.68
2132,2,0,4,22,22,32,5.0,86.0,908.0,0.0,0.5,9.5,0.0,0.0,0.08,0.0,0.0,0.0,74.5,7.5,0.0,1.5,3.0,0.28,2.03
2133,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2134,47,4,64,179,173,146,10.0,43.06,566.12,2.25,0.49,12.19,3.33,2.23,0.05,0.4,228.67,2.76,64.56,12.19,0.94,0.4,3.59,2.56,9.69
2338,12,3,31,136,131,31,5.0,4.55,26.45,0.0,0.0,0.45,3.33,0.0,0.0,0.0,2.25,2.85,0.0,-1.0,1.0,0.36,3.92,2.0,2.63
2340,16,7,17,59,59,52,5.0,38.88,500.25,0.43,0.08,3.57,0.61,0.61,0.0,0.44,60.51,2.65,22.86,2.14,0.88,0.0,2.29,1.06,1.64
2341,34,3,16,74,72,46,0.0,51.86,478.43,4.25,0.17,2.57,1.62,1.62,0.01,0.68,125.33,3.21,49.14,34.14,0.29,0.5,3.88,1.11,1.49
2342,5,0,3,10,10,25,5.0,63.5,555.0,2.5,0.1,13.5,0.0,0.0,0.05,0.6,0.0,0.0,116.0,25.0,1.0,0.0,1.5,0.28,2.88
2343,0.0,0,0,0,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.14
2344,0.0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.59
2345,0.0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.13
2346,0.0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.03
2367,25,9,9,169,164,71,5.0,8.58,12.64,1.25,0.86,0.0,3.33,0.0,0.0,0.04,1.37,0.0,-1.0,0.0,1.25,0.33,3.67,1.83,7.08
2403,0.0,1,4,12,9,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.64,0.0,-1.0,-1.0,0.0,0.0,0.0,0.11,0.0
